Drug name	DrugBankID	# genes in drug DBs and network	# drugbank	# dgidb	# chembl	# drugcentral
liotrix	DB01583	2	2	0	0	0
salsalate	DB01399	2	2	2	0	0
bimatoprost	DB00905	2	2	1	0	0
pamidronate	DB00282	2	1	2	1	1
telaprevir	DB05521	2	0	1	0	1
anisindione	DB01125	2	1	2	1	1
nitroxoline	DB01422	2	1	0	0	1
trimebutine	DB09089	2	2	0	0	0
fenoxaprop-ethyl	DB05252	2	1	1	0	0
baclofen	DB00181	2	2	2	2	2
mirabegron	DB08893	2	0	1	0	2
l-threonine	DB00156	2	2	0	0	0
flucytosine	DB01099	2	1	0	0	1
sulfamethoxazole	DB01015	2	1	1	0	0
eritoran	DB04933	2	1	1	2	0
ramipril	DB00178	2	2	1	1	1
cupric chloride	DB09131	2	2	0	0	0
methadyl acetate	DB01433	2	1	1	0	2
betamethasone	DB00443	2	1	2	1	1
abacavir	DB01048	2	1	2	0	0
e-2012	DB05171	2	2	0	0	0
tideglusib	DB12129	2	1	2	1	0
thiamine	DB00152	2	2	0	0	0
tipifarnib	DB04960	2	1	2	2	0
bazedoxifene	DB06401	2	2	2	2	2
anthralin	DB11157	2	2	0	0	0
chlormezanone	DB01178	2	1	2	0	0
arbutamine	DB01102	2	2	1	0	1
echothiophate	DB01057	2	1	1	1	1
depatuxizumab mafodotin	DB11731	2	2	0	0	0
aminocaproic acid	DB00513	2	2	2	2	2
rimonabant	DB06155	2	0	0	0	2
paramethadione	DB00617	2	0	2	1	1
ripasudil	DB13165	2	2	0	0	2
abemaciclib	DB12001	2	2	2	2	0
tolnaftate	DB00525	2	0	1	0	1
imexon	DB05003	2	2	0	0	0
bupranolol	DB08808	2	2	1	0	2
guvacine	DB08848	2	2	0	0	0
magnesium salicylate	DB01397	2	2	0	0	0
pentagastrin	DB00183	2	1	2	0	1
rolicyclidine	DB01549	2	2	0	0	0
bleomycin	DB00290	2	2	0	0	0
barnidipine	DB09227	2	1	0	0	2
trimethaphan	DB01116	2	0	1	1	1
streptozocin	DB00428	2	2	0	0	0
ubidecarenone	DB09270	2	2	0	0	0
carglumic acid	DB06775	2	1	2	1	1
lobeglitazone	DB09198	2	1	0	0	2
lornoxicam	DB06725	2	2	0	0	0
cromoglicic acid	DB01003	2	2	0	0	0
daunorubicin	DB00694	2	2	2	1	1
dienestrol	DB00890	2	2	1	1	1
fluorometholone	DB00324	2	1	2	1	1
dydrogesterone	DB00378	2	1	2	1	1
nadolol	DB01203	2	2	2	2	2
methylprednisolone	DB00959	2	1	2	1	1
morniflumate	DB09285	2	2	0	0	0
snx-5422	DB06070	2	2	0	0	0
tixocortol	DB09091	2	2	0	0	0
diethylcarbamazine	DB00711	2	2	1	0	2
cefixime	DB00671	2	0	1	0	1
pefloxacin	DB00487	2	1	1	0	0
valrubicin	DB00385	2	1	2	1	1
linagliptin	DB08882	2	1	1	1	2
dexlansoprazole	DB05351	2	2	2	2	2
chloramphenicol	DB00446	2	1	0	0	1
mycophenolate mofetil	DB00688	2	2	2	2	2
vindesine	DB00309	2	1	1	0	1
levamlodipine	DB09237	2	1	0	0	2
flunisolide	DB00180	2	1	2	1	1
moexipril	DB00691	2	2	1	1	1
temsirolimus	DB06287	2	1	2	1	2
choline magnesium trisalicylate	DB01401	2	2	0	0	0
befunolol	DB09013	2	2	0	0	0
deramciclane	DB06512	2	2	0	0	0
licofelone	DB04725	2	2	2	0	0
metronidazole	DB00916	2	1	1	0	0
chlorphentermine	DB01556	2	0	0	1	2
cefadroxil	DB01140	2	0	2	0	0
cobicistat	DB09065	2	0	1	2	2
riboflavin	DB00140	2	2	0	0	0
atovaquone	DB01117	2	2	0	1	1
levomefolic acid	DB11256	1	0	0	0	1
elacytarabine	DB05494	1	1	0	0	0
strontium ranelate	DB09267	1	0	1	0	0
methoxsalen	DB00553	1	0	0	0	1
methylscopolamine bromide	DB00462	1	1	0	0	0
lumacaftor	DB09280	1	1	1	1	1
fesoterodine	DB06702	1	1	1	0	1
ronacaleret	DB05255	1	1	1	1	0
lomustine	DB01206	1	1	0	0	0
oxyphenonium	DB00219	1	1	1	1	1
cinacalcet	DB01012	1	1	1	1	1
cefuroxime	DB01112	1	0	0	0	1
obeticholic acid	DB05990	1	1	1	1	1
bosentan	DB00559	1	1	1	1	1
fimasartan	DB09279	1	1	0	0	1
arimoclomol	DB05025	1	1	0	0	0
ticarcillin	DB01607	1	0	1	0	0
carbetocin	DB01282	1	0	0	0	1
erythrityl tetranitrate	DB01613	1	1	1	0	0
gatifloxacin	DB01044	1	0	1	0	0
latanoprost	DB00654	1	0	0	0	1
irofulven	DB05786	1	1	0	0	0
remikiren	DB00212	1	1	1	0	1
pargyline	DB01626	1	1	1	1	1
erdosteine	DB05057	1	0	1	0	0
bimoclomol	DB06258	1	1	1	0	0
naxifylline	DB06471	1	1	1	0	0
sincalide	DB09142	1	0	0	0	1
flucloxacillin	DB00301	1	0	0	0	1
succinobucol	DB05399	1	1	0	0	0
afamelanotide	DB04931	1	1	0	0	1
metyrosine	DB00765	1	1	1	1	1
peramivir	DB06614	1	0	1	0	0
cr665	DB05155	1	1	0	0	0
lobeline	DB05137	1	1	0	0	0
radotinib	DB12323	1	1	0	0	1
florbetaben (18f)	DB09148	1	1	0	0	0
flutemetamol (18f)	DB09151	1	1	0	0	0
medrogestone	DB09124	1	1	0	0	0
methocarbamol	DB00423	1	1	1	1	1
atrasentan	DB06199	1	1	1	1	1
isatoribine	DB04860	1	1	1	0	0
ethylmorphine	DB01466	1	1	0	0	0
polythiazide	DB01324	1	1	1	1	1
hexocyclium	DB06787	1	1	0	1	1
latamoxef	DB04570	1	0	1	0	0
ranirestat	DB05327	1	1	0	0	0
darusentan	DB04883	1	1	1	1	0
linezolid	DB00601	1	0	0	0	1
thymectacin	DB05116	1	1	0	0	0
tezosentan	DB06558	1	1	1	1	0
amrubicin	DB06263	1	1	1	1	0
cilastatin	DB01597	1	1	1	1	1
anisotropine methylbromide	DB00517	1	1	1	0	1
asimadoline	DB05104	1	1	1	0	0
benazepril	DB00542	1	1	1	1	1
ezatiostat	DB05460	1	1	1	1	0
osanetant	DB04872	1	0	1	0	0
deflazacort	DB11921	1	0	1	1	0
hyoscyamine	DB00424	1	1	0	0	1
clidinium	DB00771	1	1	0	0	1
allopurinol	DB00437	1	0	1	1	1
cimicoxib	DB05095	1	0	1	0	0
pitavastatin	DB08860	1	1	1	1	1
maraviroc	DB04835	1	1	1	1	1
naloxegol	DB09049	1	1	0	1	1
trabectedin	DB05109	1	0	0	0	1
pinaverium	DB09090	1	1	0	0	0
drostanolone	DB00858	1	1	1	0	0
daclatasvir	DB09102	1	0	0	0	1
sulfathiazole	DB06147	1	0	0	0	1
carbocisteine	DB04339	1	1	0	0	0
dolasetron	DB00757	1	0	0	0	1
etelcalcetide	DB12865	1	1	1	1	1
dinoprost tromethamine	DB01160	1	1	1	0	0
floxuridine	DB00322	1	1	1	1	1
piclidenoson	DB05511	1	0	1	0	0
isothipendyl	DB08802	1	0	1	0	0
oxibendazole	DB04910	1	1	0	0	0
altropane	DB04947	1	1	0	0	0
icotinib	DB11737	1	1	1	0	1
abarelix	DB00106	1	0	1	0	0
risedronate	DB00884	1	1	1	1	1
metamizole	DB04817	1	1	0	0	0
otamixaban	DB06635	1	1	1	0	0
ly-517717	DB05713	1	1	1	0	0
rolapitant	DB09291	1	0	1	1	1
zanapezil	DB04859	1	1	0	0	0
betrixaban	DB12364	1	1	1	1	0
mequitazine	DB01071	1	0	0	0	1
pralnacasan	DB04875	1	1	1	0	0
biperiden	DB00810	1	1	1	1	1
implitapide	DB04852	1	1	1	0	0
enalapril	DB00584	1	1	1	1	1
methyl aminolevulinate	DB00992	1	0	1	0	0
tegafur-uracil	DB09327	1	1	0	0	0
methsuximide	DB05246	1	1	1	1	1
ethosuximide	DB00593	1	1	1	1	1
pentostatin	DB00552	1	1	1	1	1
didanosine	DB00900	1	1	0	0	0
trifluridine	DB00432	1	1	0	0	0
thonzonium	DB09552	1	1	0	0	0
bitolterol	DB00901	1	1	0	1	1
gallium maltolate	DB05420	1	1	0	0	0
dalbavancin	DB06219	1	0	1	0	0
finafloxacin	DB09047	1	1	0	0	0
carboprost tromethamine	DB00429	1	0	1	0	0
ecabet	DB05265	1	1	0	0	0
loteprednol	DB00873	1	1	0	0	0
saprisartan	DB01347	1	1	1	0	0
t131	DB05490	1	1	0	0	0
carbenicillin	DB00578	1	0	0	0	1
enasidenib	DB13874	1	1	0	0	0
esculin	DB13155	1	1	0	0	0
dronabinol	DB00470	1	0	1	0	0
cositecan	DB05806	1	1	0	0	0
sodium chloride	DB09153	1	0	1	0	0
topiroxostat	DB01685	1	1	0	0	1
proflavine	DB01123	1	1	0	0	0
terlipressin	DB02638	1	1	1	0	0
vancomycin	DB00512	1	0	0	0	1
troleandomycin	DB13179	1	1	0	0	0
cetilistat	DB06586	1	1	1	0	1
sonidegib	DB09143	1	1	1	1	1
pyridoxine	DB00165	1	1	0	0	0
ezetimibe	DB00973	1	1	0	0	0
nitisinone	DB00348	1	1	1	1	1
zucapsaicin	DB09120	1	1	1	0	1
phenprocoumon	DB00946	1	1	0	1	1
sitagliptin	DB01261	1	1	1	1	1
cetrorelix	DB00050	1	1	0	0	1
difenoxin	DB01501	1	0	0	1	1
mevastatin	DB06693	1	1	1	0	0
eliglustat	DB09039	1	1	1	1	1
ppi-2458	DB05864	1	1	0	0	0
calcidiol	DB00146	1	1	0	1	1
fexofenadine	DB00950	1	0	0	0	1
formaldehyde	DB03843	1	0	1	0	0
ambrisentan	DB06403	1	1	1	1	1
nitazoxanide	DB00507	1	0	0	0	1
rivaroxaban	DB06228	1	1	1	1	1
clocortolone	DB00838	1	1	0	0	1
incadronic acid	DB06255	1	0	0	0	1
selexipag	DB11362	1	1	1	1	1
stavudine	DB00649	1	0	1	0	0
phenoxypropazine	DB09251	1	0	0	1	0
brasofensine	DB04857	1	1	0	0	0
phenformin	DB00914	1	1	1	0	0
gpi-1485	DB05814	1	1	0	0	0
cp-122721	DB05421	1	1	0	0	0
pheniprazine	DB09250	1	0	0	0	1
clavulanate	DB00766	1	0	1	0	0
nandrolone decanoate	DB08804	1	1	1	1	1
idebenone	DB09081	1	0	0	0	1
org-34517	DB05423	1	1	0	0	0
ulobetasol	DB00596	1	1	0	0	0
titanium dioxide	DB09536	1	1	0	0	0
iodipamide	DB04711	1	0	1	0	0
difluprednate	DB06781	1	1	1	1	1
forasartan	DB01342	1	1	1	0	0
dapsone	DB00250	1	0	0	0	1
mepenzolate	DB04843	1	1	0	1	1
benzocaine	DB01086	1	1	1	0	0
aminoglutethimide	DB00357	1	1	1	1	1
ambenonium	DB01122	1	1	1	1	1
cerulenin	DB01034	1	1	1	0	0
alfentanil	DB00802	1	1	1	1	1
amyl nitrite	DB01612	1	1	0	0	0
bifonazole	DB04794	1	0	0	0	1
succimer	DB00566	1	0	1	0	0
eflornithine	DB06243	1	1	1	1	1
ularitide	DB05034	1	1	0	0	0
streptomycin	DB01082	1	1	0	0	0
rubitecan	DB06159	1	1	0	0	0
chlorambucil	DB00291	1	0	0	0	1
aclidinium	DB08897	1	1	1	0	0
aminopterin	DB08878	1	0	1	0	1
trospium	DB00209	1	1	1	0	1
lgd2941	DB05234	1	1	1	1	0
voacamine	DB04877	1	1	0	0	0
alizapride	DB01425	1	1	0	0	1
torcetrapib	DB06281	1	1	1	0	0
tropicamide	DB00809	1	1	0	0	1
sodium phosphate	DB09449	1	0	0	0	1
bivalirudin	DB00006	1	1	1	1	1
parachlorophenol	DB13154	1	1	0	0	0
posaconazole	DB01263	1	0	0	0	1
almitrine	DB01430	1	1	1	0	0
cefpiramide	DB00430	1	0	1	0	0
elacridar	DB04881	1	1	0	0	0
edotecarin	DB04882	1	1	0	0	0
temocapril	DB08836	1	1	0	0	1
florbetapir (18f)	DB09149	1	1	0	0	0
phylloquinone	DB01022	1	1	1	0	0
uric acid	DB08844	1	1	0	0	0
cycrimine	DB00942	1	1	1	1	1
oxypurinol	DB05262	1	1	1	0	0
nelarabine	DB01280	1	1	1	0	0
anatibant	DB05038	1	1	1	1	0
zosuquidar	DB06191	1	1	0	0	0
aminohippuric acid	DB00345	1	0	0	0	1
nitrofurantoin	DB00698	1	0	1	0	0
tasquinimod	DB05861	1	0	1	0	0
edoxaban	DB09075	1	1	1	1	1
corticorelin ovine triflutate	DB09067	1	1	0	0	0
potassium iodide	DB06715	1	0	0	0	1
linaclotide	DB08890	1	1	1	1	1
ivacaftor	DB08820	1	1	1	1	1
vildagliptin	DB04876	1	1	1	1	1
pyrantel	DB11156	1	1	0	0	0
freselestat	DB03925	1	1	0	0	0
quinapril	DB00881	1	1	1	1	1
methantheline	DB00940	1	1	1	0	1
trimetrexate	DB01157	1	1	1	0	1
sacubitril	DB09292	1	1	1	1	1
spirapril	DB01348	1	1	1	1	1
gemifloxacin	DB01155	1	0	1	0	0
dutasteride	DB01126	1	0	1	1	0
nicergoline	DB00699	1	1	1	0	0
piperazine	DB00592	1	1	0	0	0
ceforanide	DB00923	1	0	1	0	0
ciclopirox	DB01188	1	1	1	0	0
cimetidine	DB00501	1	0	0	0	1
ubenimex	DB03424	1	1	0	0	0
iproniazid	DB04818	1	0	0	0	1
fluvastatin	DB01095	1	1	0	0	1
potassium nitrate	DB11090	1	1	0	0	0
clobetasol propionate	DB01013	1	1	1	1	1
indigotindisulfonic acid	DB11577	1	1	0	0	0
magnesium carbonate	DB09481	1	1	0	0	0
umeclidinium	DB09076	1	1	1	0	1
lixisenatide	DB09265	1	1	1	1	1
16-bromoepiandrosterone	DB05107	1	1	0	0	0
bicalutamide	DB01128	1	1	1	1	1
iron saccharate	DB09146	1	1	0	0	0
banoxantrone	DB04975	1	1	0	0	0
ibandronate	DB00710	1	1	1	1	1
alogliptin	DB06203	1	1	1	1	1
solabegron	DB06190	1	0	1	0	0
forodesine	DB06185	1	1	1	1	0
rilpivirine	DB08864	1	1	0	0	0
zileuton	DB00744	1	1	1	1	1
latanoprostene bunod	DB11660	1	0	1	0	0
tolbutamide	DB01124	1	1	1	0	0
cefonicid	DB01328	1	0	0	0	1
tiomolibdate ion	DB05088	1	1	0	0	0
czen 002	DB05479	1	1	0	0	0
sulfoxone	DB01145	1	0	1	0	0
tegafur	DB09256	1	1	1	0	0
zanamivir	DB00558	1	1	0	0	0
gadopentetate dimeglumine	DB00789	1	1	0	0	0
clarithromycin	DB01211	1	1	0	0	1
methacholine	DB06709	1	0	0	0	1
nizatidine	DB00585	1	0	0	0	1
lesopitron	DB04970	1	1	0	0	0
tecadenoson	DB04954	1	1	1	1	0
tiotropium	DB01409	1	1	1	0	0
dactinomycin	DB00970	1	1	0	0	0
chloroxylenol	DB11121	1	0	0	0	1
teriflunomide	DB08880	1	1	1	1	1
c31g	DB05398	1	1	0	0	0
isometheptene	DB06706	1	1	0	0	0
roxithromycin	DB00778	1	1	0	0	0
paclitaxel docosahexaenoic acid	DB05297	1	1	0	0	0
ljp 1082	DB05446	1	1	0	0	0
pirenzepine	DB00670	1	1	1	0	1
fosinopril	DB00492	1	1	1	1	1
phenylbutyric acid	DB06819	1	0	1	0	0
tipiracil	DB09343	1	1	0	1	1
tetraethylammonium	DB08837	1	1	0	0	0
clindamycin	DB01190	1	0	1	0	0
ipratropium bromide	DB00332	1	1	0	0	1
deferoxamine	DB00746	1	1	0	0	0
isocarboxazid	DB01247	1	1	1	1	1
olmutinib	DB13164	1	1	1	1	1
toloxatone	DB09245	1	0	0	0	1
carmustine	DB00262	1	1	1	1	1
phenacetin	DB03783	1	1	0	0	1
astaxanthin	DB06543	1	1	0	0	0
ridogrel	DB01207	1	1	1	0	0
firocoxib	DB09217	1	1	0	0	0
chlorfenson	DB05377	1	0	1	0	0
vismodegib	DB08828	1	1	1	1	1
levosalbutamol	DB13139	1	1	0	1	1
sodium acetate	DB09395	1	0	0	0	1
cerivastatin	DB00439	1	1	1	1	1
phenoxymethylpenicillin	DB00417	1	1	0	0	0
mb-07803	DB05053	1	1	0	0	0
voriconazole	DB00582	1	0	0	0	1
methimazole	DB00763	1	0	1	0	0
rupatadine	DB11614	1	1	0	0	0
grepafloxacin	DB00365	1	0	0	0	1
tolcapone	DB00323	1	1	1	1	1
ajmaline	DB01426	1	1	0	0	0
solifenacin	DB01591	1	1	1	0	1
rosoxacin	DB00817	1	0	1	0	0
glisoxepide	DB01289	1	0	1	0	0
telithromycin	DB00976	1	0	0	0	1
idarubicin	DB01177	1	1	1	1	1
sr 140333	DB05790	1	1	0	0	0
gliquidone	DB01251	1	0	1	0	0
oteracil	DB03209	1	0	0	0	1
demeclocycline	DB00618	1	0	0	0	1
torasemide	DB00214	1	1	1	1	1
entacapone	DB00494	1	0	1	1	1
sodium bicarbonate	DB01390	1	0	1	0	0
paricalcitol	DB00910	1	1	1	1	1
ticagrelor	DB08816	1	0	1	0	1
sodium citrate	DB09154	1	0	0	0	1
camptothecin	DB04690	1	1	1	0	0
cep-1347	DB05403	1	1	0	0	0
fosaprepitant	DB06717	1	0	1	1	1
tiagabine	DB00906	1	0	1	0	0
macitentan	DB08932	1	1	1	1	1
daglutril	DB05796	1	1	0	0	0
tezacaftor	DB11712	1	1	1	1	0
desoxycorticosterone pivalate	DB01134	1	1	1	1	1
resiniferatoxin	DB06515	1	1	0	0	0
dolutegravir	DB08930	1	0	1	0	0
paromomycin	DB01421	1	0	1	0	0
mitomycin	DB00305	1	0	1	0	0
phensuximide	DB00832	1	0	1	1	1
thiabendazole	DB00730	1	0	0	0	1
ceruletide	DB00403	1	0	1	0	0
formebolone	DB01569	1	1	0	0	0
fencamfamine	DB01463	1	1	1	0	0
opc-51803	DB05838	1	1	1	0	0
procaterol	DB01366	1	1	0	0	1
arundic acid	DB05343	1	1	0	0	0
boceprevir	DB08873	1	0	1	0	0
apatorsen	DB06094	1	1	0	0	0
ethanolamine oleate	DB06689	1	1	0	0	0
travoprost	DB00287	1	0	0	0	1
acenocoumarol	DB01418	1	1	1	1	1
meclizine	DB00737	1	1	1	0	0
huperzine a	DB04864	1	1	0	0	0
huperzine b	DB03348	1	1	0	0	0
tranilast	DB07615	1	1	0	0	0
phenylacetic acid	DB09269	1	0	0	0	1
valsartan	DB00177	1	1	1	1	1
trimethadione	DB00347	1	1	1	1	1
inecalcitol	DB04796	1	1	1	1	0
eldecalcitol	DB05295	1	1	0	0	1
proguanil	DB01131	1	1	1	0	0
magnesium acetate tetrahydrate	DB09409	1	1	0	0	0
atazanavir	DB01072	1	0	0	0	1
pravastatin	DB00175	1	1	1	1	1
brivaracetam	DB05541	1	1	1	1	1
enzalutamide	DB08899	1	1	1	1	1
chloroxine	DB01243	1	0	0	0	1
calcium chloride	DB01164	1	1	0	0	0
pemoline	DB01230	1	0	0	0	1
oxyphencyclimine	DB00383	1	1	1	1	1
ritodrine	DB00867	1	1	1	0	1
clobetasone	DB13158	1	1	0	0	0
tetomilast	DB05298	1	1	0	0	0
clopidogrel	DB00758	1	0	0	0	1
fluticasone furoate	DB08906	1	1	1	1	1
edaravone	DB12243	1	0	1	0	0
spaglumic acid	DB08835	1	1	0	0	0
imidafenacin	DB09262	1	1	0	0	1
omacetaxine mepesuccinate	DB04865	1	1	0	0	0
opc-28326	DB05461	1	1	0	0	0
fluconazole	DB00196	1	0	0	0	1
aspartame	DB00168	1	1	0	0	0
conivaptan	DB00872	1	1	1	1	1
carbinoxamine	DB00748	1	0	1	0	0
doxercalciferol	DB06410	1	1	1	1	1
eprosartan	DB00876	1	1	1	1	1
flumethasone	DB00663	1	1	0	0	0
propantheline	DB00782	1	1	1	1	1
tridihexethyl	DB00505	1	1	1	1	1
chromium	DB11136	1	1	0	0	0
trandolapril	DB00519	1	1	1	1	1
dihydrotachysterol	DB01070	1	1	0	1	1
rescinnamine	DB01180	1	1	1	0	0
tolvaptan	DB06212	1	1	1	1	1
buclizine	DB00354	1	1	1	0	0
indinavir	DB00224	1	0	0	0	1
almotriptan	DB00918	1	1	1	1	1
apalutamide	DB11901	1	1	1	1	0
nilutamide	DB00665	1	1	1	1	1
cevimeline	DB00185	1	1	0	0	1
bethanechol	DB01019	1	1	1	0	1
canfosfamide	DB04972	1	1	1	0	0
docosanol	DB00632	1	0	1	0	0
calusterone	DB01564	1	1	0	0	0
elocalcitol	DB06194	1	1	0	0	0
edetic acid	DB00974	1	0	0	0	1
mebanazine	DB09248	1	0	0	1	1
ampicillin	DB00415	1	1	0	0	1
ciclesonide	DB01410	1	1	1	1	1
homatropine methylbromide	DB00725	1	1	1	0	0
finasteride	DB01216	1	0	1	0	0
diphemanil methylsulfate	DB00729	1	0	1	0	0
dimercaprol	DB06782	1	1	0	0	0
alisertib	DB05220	1	1	1	1	0
tifuvirtide	DB05413	1	1	0	0	0
pradefovir mesylate	DB05478	1	1	0	0	0
gimeracil	DB09257	1	1	0	0	1
chlortetracycline	DB09093	1	0	0	0	1
olmesartan	DB00275	1	1	1	1	1
rifaximin	DB01220	1	1	0	0	0
halofantrine	DB01218	1	1	0	0	1
cefotaxime	DB00493	1	1	0	0	0
trimetazidine	DB09069	1	1	0	0	0
orciprenaline	DB00816	1	1	0	1	1
etiprednol dicloacetate	DB05442	1	1	0	0	0
dihydrocodeine	DB01551	1	0	0	1	1
calcipotriol	DB02300	1	1	1	1	1
dimetindene	DB08801	1	0	0	0	1
levoleucovorin	DB11596	0	0	0	0	0
lincomycin	DB01627	0	0	0	0	0
efavirenz	DB00625	0	0	0	0	0
pivmecillinam	DB01605	0	0	0	0	0
ledipasvir	DB09027	0	0	0	0	0
rolitetracycline	DB01301	0	0	0	0	0
px-12	DB05448	0	0	0	0	0
ceftolozane	DB09050	0	0	0	0	0
ombitasvir	DB09296	0	0	0	0	0
arbekacin	DB06696	0	0	0	0	0
histrelin	DB06788	0	0	0	0	0
penciclovir	DB00299	0	0	0	0	0
delafloxacin	DB11943	0	0	0	0	0
griseofulvin	DB00400	0	0	0	0	0
netilmicin	DB00955	0	0	0	0	0
sulfacytine	DB01298	0	0	0	0	0
temafloxacin	DB01405	0	0	0	0	0
udenafil	DB06267	0	0	0	0	0
cyclacillin	DB01000	0	0	0	0	0
cefoperazone	DB01329	0	0	0	0	0
atp	DB00171	0	0	0	0	0
carbimazole	DB00389	0	0	0	0	0
cefprozil	DB01150	0	0	0	0	0
tigecycline	DB00560	0	0	0	0	0
felypressin	DB00093	0	0	0	0	0
abt-510	DB05434	0	0	0	0	0
tedizolid phosphate	DB09042	0	0	0	0	0
tafluprost	DB08819	0	0	0	0	0
mupirocin	DB00410	0	0	0	0	0
tobramycin	DB00684	0	0	0	0	0
retapamulin	DB01256	0	0	0	0	0
antazoline	DB08799	0	0	0	0	0
cidofovir	DB00369	0	0	0	0	0
uracil mustard	DB00791	0	0	0	0	0
tipranavir	DB00932	0	0	0	0	0
famotidine	DB00927	0	0	0	0	0
ceftobiprole	DB04918	0	0	0	0	0
fluorescein	DB00693	0	0	0	0	0
triptorelin	DB06825	0	0	0	0	0
palonosetron	DB00377	0	0	0	0	0
sulfamethazine	DB01582	0	0	0	0	0
sulfadoxine	DB01299	0	0	0	0	0
sulfaphenazole	DB06729	0	0	0	0	0
bedaquiline	DB08903	0	0	0	0	0
betahistine	DB06698	0	0	0	0	0
suvorexant	DB09034	0	0	0	0	0
vapitadine	DB05738	0	0	0	0	0
luliconazole	DB08933	0	0	0	0	0
calanolide a	DB04886	0	0	0	0	0
tazobactam	DB01606	0	0	0	0	0
sulfadimethoxine	DB06150	0	0	0	0	0
cilansetron	DB04885	0	0	0	0	0
elbasvir	DB11574	0	0	0	0	0
meticillin	DB01603	0	0	0	0	0
cephaloglycin	DB00689	0	0	0	0	0
bacampicillin	DB01602	0	0	0	0	0
azidocillin	DB08795	0	0	0	0	0
valbenazine	DB11915	0	0	0	0	0
osi-930	DB05913	0	0	0	0	0
hetacillin	DB00739	0	0	0	0	0
anidulafungin	DB00362	0	0	0	0	0
ethionamide	DB00609	0	0	0	0	0
calcium carbimide	DB09116	0	0	0	0	0
methacycline	DB00931	0	0	0	0	0
cefmenoxime	DB00267	0	0	0	0	0
dantrolene	DB01219	0	0	0	0	0
valaciclovir	DB00577	0	0	0	0	0
spiramycin	DB06145	0	0	0	0	0
an-9	DB05103	0	0	0	0	0
ceftaroline fosamil	DB06590	0	0	0	0	0
avobenzone	DB09495	0	0	0	0	0
quinupristin	DB01369	0	0	0	0	0
lactulose	DB00581	0	0	0	0	0
ceftizoxime	DB01332	0	0	0	0	0
butoconazole	DB00639	0	0	0	0	0
faropenem medoxomil	DB05659	0	0	0	0	0
virginiamycin m1	DB01669	0	0	0	0	0
pantothenic acid	DB01783	0	0	0	0	0
rifapentine	DB01201	0	0	0	0	0
nafarelin	DB00666	0	0	0	0	0
sofosbuvir	DB08934	0	0	0	0	0
sulfamerazine	DB01581	0	0	0	0	0
besifloxacin	DB06771	0	0	0	0	0
dasabuvir	DB09183	0	0	0	0	0
inositol nicotinate	DB08949	0	0	0	0	0
etravirine	DB06414	0	0	0	0	0
telbivudine	DB01265	0	0	0	0	0
levmetamfetamine	DB09571	0	0	0	0	0
pivampicillin	DB01604	0	0	0	0	0
chloropyramine	DB08800	0	0	0	0	0
dalfopristin	DB01764	0	0	0	0	0
trapidil	DB09283	0	0	0	0	0
cephalexin	DB00567	0	0	0	0	0
wx-uk1	DB05476	0	0	0	0	0
paritaprevir	DB09297	0	0	0	0	0
caspofungin	DB00520	0	0	0	0	0
sertaconazole	DB01153	0	0	0	0	0
testolactone	DB00894	0	0	0	0	0
micafungin	DB01141	0	0	0	0	0
cefmetazole	DB00274	0	0	0	0	0
formestane	DB08905	0	0	0	0	0
azatadine	DB00719	0	0	0	0	0
diphenhydramine	DB01075	0	0	0	0	0
cefditoren	DB01066	0	0	0	0	0
acipimox	DB09055	0	0	0	0	0
propylthiouracil	DB00550	0	0	0	0	0
denufosol	DB04983	0	0	0	0	0
imipenem	DB01598	0	0	0	0	0
alcaftadine	DB06766	0	0	0	0	0
spectinomycin	DB00919	0	0	0	0	0
nitrofural	DB00336	0	0	0	0	0
fosfomycin	DB00828	0	0	0	0	0
cloxacillin	DB01147	0	0	0	0	0
empagliflozin	DB09038	0	0	0	0	0
alimemazine	DB01246	0	0	0	0	0
aceprometazine	DB01615	0	0	0	0	0
rilapladib	DB05119	0	0	0	0	0
bromodiphenhydramine	DB01237	0	0	0	0	0
levocetirizine	DB06282	0	0	0	0	0
ertugliflozin	DB11827	0	0	0	0	0
rupintrivir	DB05102	0	0	0	0	0
triprolidine	DB00427	0	0	0	0	0
benzathine benzylpenicillin	DB09323	0	0	0	0	0
cefpodoxime	DB01416	0	0	0	0	0
obinepitide	DB05045	0	0	0	0	0
ganirelix	DB06785	0	0	0	0	0
sulfamethizole	DB00576	0	0	0	0	0
mn-305	DB05339	0	0	0	0	0
prucalopride	DB06480	0	0	0	0	0
meclocycline	DB13092	0	0	0	0	0
nystatin	DB00646	0	0	0	0	0
dexchlorpheniramine maleate	DB09555	0	0	0	0	0
amikacin	DB00479	0	0	0	0	0
butylscopolamine	DB09300	0	0	0	0	0
piperacillin	DB00319	0	0	0	0	0
clomocycline	DB00453	0	0	0	0	0
rifalazil	DB04934	0	0	0	0	0
doripenem	DB06211	0	0	0	0	0
ceftibuten	DB01415	0	0	0	0	0
cinalukast	DB00587	0	0	0	0	0
tetracosactide	DB01284	0	0	0	0	0
amd-070	DB05501	0	0	0	0	0
emedastine	DB01084	0	0	0	0	0
lymecycline	DB00256	0	0	0	0	0
telotristat ethyl	DB12095	0	0	0	0	0
uc-781	DB05871	0	0	0	0	0
adefovir dipivoxil	DB00718	0	0	0	0	0
cefamandole	DB01326	0	0	0	0	0
dexbrompheniramine	DB00405	0	0	0	0	0
