Drug name	DrugBankID	# genes in drugbank and network	# genes in drug DBs and network	# genes in network	# genes in total
brompheniramine	DB00835	1	5	5	10
acenocoumarol	DB01418	1	1	1	1
meclizine	DB00737	1	1	1	2
pentagastrin	DB00183	1	2	3	4
huperzine a	DB04864	1	1	1	1
huperzine b	DB03348	1	1	1	1
tranilast	DB07615	1	1	1	2
barnidipine	DB09227	1	2	2	2
valsartan	DB00177	1	1	1	1
trimethadione	DB00347	1	1	1	3
dexmedetomidine	DB00633	1	5	5	7
proparacaine	DB00807	1	11	11	15
fluocinolone acetonide	DB00591	1	3	3	4
isosorbide mononitrate	DB01020	1	5	5	5
inecalcitol	DB04796	1	1	1	1
malathion	DB00772	1	3	3	3
eldecalcitol	DB05295	1	1	1	1
proguanil	DB01131	1	1	1	2
magnesium acetate tetrahydrate	DB09409	1	1	1	1
carglumic acid	DB06775	1	2	2	2
lobeglitazone	DB09198	1	2	2	2
lifitegrast	DB11611	1	3	3	3
pravastatin	DB00175	1	1	1	2
brivaracetam	DB05541	1	1	1	3
enzalutamide	DB08899	1	1	1	1
tolterodine	DB01036	1	3	3	8
calcium chloride	DB01164	1	1	1	1
oxyphencyclimine	DB00383	1	1	1	3
fluorometholone	DB00324	1	2	2	2
ritodrine	DB00867	1	1	1	2
clobetasone	DB13158	1	1	1	1
trovafloxacin	DB00685	1	3	3	3
tetomilast	DB05298	1	1	1	1
pheniramine	DB01620	1	4	4	5
dydrogesterone	DB00378	1	2	2	2
fluticasone furoate	DB08906	1	1	1	1
alprostadil	DB00770	1	6	6	11
spaglumic acid	DB08835	1	1	1	1
imidafenacin	DB09262	1	1	1	3
methylprednisolone	DB00959	1	2	2	2
omacetaxine mepesuccinate	DB04865	1	1	1	1
guanabenz	DB00629	1	7	7	10
opc-28326	DB05461	1	1	1	3
aspartame	DB00168	1	1	2	4
conivaptan	DB00872	1	1	1	2
doxercalciferol	DB06410	1	1	1	1
eprosartan	DB00876	1	1	1	1
flumethasone	DB00663	1	1	1	1
propantheline	DB00782	1	1	1	4
tridihexethyl	DB00505	1	1	1	3
chromium	DB11136	1	1	1	1
gabapentin enacarbil	DB08872	1	14	14	26
trandolapril	DB00519	1	1	1	1
dihydrotachysterol	DB01070	1	1	1	1
rescinnamine	DB01180	1	1	1	2
pefloxacin	DB00487	1	2	2	2
valrubicin	DB00385	1	2	2	2
tolvaptan	DB06212	1	1	1	2
buclizine	DB00354	1	1	1	2
linagliptin	DB08882	1	2	2	2
regadenoson	DB06213	1	3	3	4
almotriptan	DB00918	1	1	1	3
pentamidine	DB00738	1	12	12	16
apalutamide	DB11901	1	1	1	2
chloramphenicol	DB00446	1	2	3	3
enoxacin	DB00467	1	3	3	3
nilutamide	DB00665	1	1	1	1
cevimeline	DB00185	1	1	1	5
mivacurium	DB01226	1	5	5	9
bethanechol	DB01019	1	1	1	4
canfosfamide	DB04972	1	1	1	1
calusterone	DB01564	1	1	1	1
vindesine	DB00309	1	2	2	2
levamlodipine	DB09237	1	2	2	2
elocalcitol	DB06194	1	1	1	1
flunisolide	DB00180	1	2	2	2
temsirolimus	DB06287	1	2	2	2
debrisoquin	DB04840	1	6	6	9
ampicillin	DB00415	1	1	1	2
ciclesonide	DB01410	1	1	1	2
homatropine methylbromide	DB00725	1	1	1	5
dimercaprol	DB06782	1	1	1	1
prednisolone	DB00860	1	5	5	7
trihexyphenidyl	DB00376	1	5	5	10
osimertinib	DB09330	1	6	6	6
azelnidipine	DB09230	1	3	3	3
isosorbide dinitrate	DB00883	1	6	6	6
alisertib	DB05220	1	1	1	1
deslanoside	DB01078	1	6	6	8
tifuvirtide	DB05413	1	1	1	1
pradefovir mesylate	DB05478	1	1	1	1
itraconazole	DB01167	1	6	6	6
gimeracil	DB09257	1	1	1	1
plerixafor	DB06809	1	3	3	3
olmesartan	DB00275	1	1	1	2
gliclazide	DB01120	1	3	3	5
milrinone	DB00235	1	7	7	8
aprepitant	DB00673	1	3	3	4
rifaximin	DB01220	1	1	1	1
metronidazole	DB00916	1	2	2	2
metaraminol	DB00610	1	8	8	9
bupivacaine	DB00297	1	5	5	9
halofantrine	DB01218	1	1	1	1
cytarabine	DB00987	1	12	13	13
cefotaxime	DB00493	1	1	1	1
trimetazidine	DB09069	1	1	1	1
orciprenaline	DB00816	1	1	1	1
etiprednol dicloacetate	DB05442	1	1	1	1
calcipotriol	DB02300	1	1	1	1
guaiacol	DB11359	1	3	3	3
levoleucovorin	DB11596	0	0	0	0
olsalazine	DB01250	0	4	4	6
levomefolic acid	DB11256	0	1	1	1
ivabradine	DB09083	0	2	2	4
idelalisib	DB09054	0	4	4	4
strontium ranelate	DB09267	0	1	1	1
methoxsalen	DB00553	0	1	1	2
lincomycin	DB01627	0	0	0	0
efavirenz	DB00625	0	0	0	1
pivmecillinam	DB01605	0	0	0	0
ledipasvir	DB09027	0	0	0	1
rolitetracycline	DB01301	0	0	0	0
px-12	DB05448	0	0	0	0
tedisamil	DB06200	0	24	24	39
cefuroxime	DB01112	0	1	1	1
ceftolozane	DB09050	0	0	0	0
ombitasvir	DB09296	0	0	0	1
leucovorin	DB00650	0	5	5	5
arbekacin	DB06696	0	0	0	0
histrelin	DB06788	0	0	0	1
penciclovir	DB00299	0	0	1	1
delafloxacin	DB11943	0	0	0	0
terconazole	DB00251	0	13	13	19
ticarcillin	DB01607	0	1	1	1
carbetocin	DB01282	0	1	1	3
griseofulvin	DB00400	0	0	0	1
cefalotin	DB00456	0	2	2	4
gatifloxacin	DB01044	0	1	1	1
latanoprost	DB00654	0	1	1	3
netilmicin	DB00955	0	0	0	0
sulfacytine	DB01298	0	0	0	0
letrozole	DB01006	0	2	2	4
temafloxacin	DB01405	0	0	0	0
udenafil	DB06267	0	0	0	1
cyclacillin	DB01000	0	0	0	0
erdosteine	DB05057	0	1	1	1
cefoperazone	DB01329	0	0	0	0
acetic acid	DB03166	0	6	6	8
dimenhydrinate	DB00985	0	9	9	16
cetirizine	DB00341	0	2	2	3
sincalide	DB09142	0	1	1	2
flucloxacillin	DB00301	0	1	2	2
peramivir	DB06614	0	1	1	1
atp	DB00171	0	0	0	0
carbimazole	DB00389	0	0	0	1
colistin	DB00803	0	3	3	3
cefprozil	DB01150	0	0	0	0
nalidixic acid	DB00779	0	2	2	2
tigecycline	DB00560	0	0	0	0
levonordefrin	DB06707	0	2	2	4
sodium oxybate	DB09072	0	3	3	3
felypressin	DB00093	0	0	0	1
abt-510	DB05434	0	0	0	0
sulfisoxazole	DB00263	0	2	2	3
latamoxef	DB04570	0	1	1	1
tedizolid phosphate	DB09042	0	0	0	0
linezolid	DB00601	0	1	1	2
oxamniquine	DB01096	0	2	2	2
tafluprost	DB08819	0	0	0	1
mupirocin	DB00410	0	0	0	0
tobramycin	DB00684	0	0	0	0
retapamulin	DB01256	0	0	0	0
antazoline	DB08799	0	0	0	1
deserpidine	DB01089	0	4	4	5
cidofovir	DB00369	0	0	1	1
uracil mustard	DB00791	0	0	0	2
tipranavir	DB00932	0	0	0	1
osanetant	DB04872	0	1	1	3
famotidine	DB00927	0	0	1	4
pancuronium	DB01337	0	6	6	10
ceftobiprole	DB04918	0	0	0	0
deflazacort	DB11921	0	1	1	1
amoxicillin	DB01060	0	4	4	4
allopurinol	DB00437	0	1	2	3
cimicoxib	DB05095	0	1	1	1
chlorpropamide	DB00672	0	3	3	5
fluorescein	DB00693	0	0	1	1
busulfan	DB01008	0	2	2	2
triptorelin	DB06825	0	0	0	1
palonosetron	DB00377	0	0	0	3
bradanicline	DB06090	0	2	2	2
prinomastat	DB05100	0	4	4	4
sulfamethazine	DB01582	0	0	0	0
doxacurium chloride	DB01135	0	4	4	7
tropisetron	DB11699	0	10	10	16
desloratadine	DB00967	0	8	8	15
trabectedin	DB05109	0	1	1	1
sulfadoxine	DB01299	0	0	0	0
daclatasvir	DB09102	0	1	1	2
sulfathiazole	DB06147	0	1	1	1
mezlocillin	DB00948	0	12	12	14
dolasetron	DB00757	0	1	1	6
sulfaphenazole	DB06729	0	0	0	0
bedaquiline	DB08903	0	0	0	0
betahistine	DB06698	0	0	0	2
suvorexant	DB09034	0	0	0	2
azelastine	DB00972	0	3	3	5
piclidenoson	DB05511	0	1	1	2
vapitadine	DB05738	0	0	0	1
isothipendyl	DB08802	0	1	1	2
abarelix	DB00106	0	1	1	2
lumefantrine	DB06708	0	2	2	2
luliconazole	DB08933	0	0	0	0
calanolide a	DB04886	0	0	0	0
pramocaine	DB09345	0	4	4	4
tazobactam	DB01606	0	0	0	0
triethylenetetramine	DB06824	0	8	8	11
rolapitant	DB09291	0	1	1	1
mequitazine	DB01071	0	1	1	6
sulfadimethoxine	DB06150	0	0	0	0
alosetron	DB00969	0	2	2	3
cilansetron	DB04885	0	0	0	2
methyl aminolevulinate	DB00992	0	1	1	2
elbasvir	DB11574	0	0	0	1
meticillin	DB01603	0	0	0	3
clemastine	DB00283	0	13	13	22
cephaloglycin	DB00689	0	0	0	0
bacampicillin	DB01602	0	0	0	0
sodium lauryl sulfate	DB00815	0	4	4	4
azidocillin	DB08795	0	0	0	0
bisacodyl	DB09020	0	2	2	2
icosapent ethyl	DB08887	0	5	5	5
dalbavancin	DB06219	0	1	1	1
valbenazine	DB11915	0	0	0	2
osi-930	DB05913	0	0	0	0
carboprost tromethamine	DB00429	0	1	1	3
hetacillin	DB00739	0	0	0	0
metocurine iodide	DB00416	0	4	4	6
metocurine	DB01336	0	4	4	7
anidulafungin	DB00362	0	0	0	0
ethionamide	DB00609	0	0	0	0
calcium carbimide	DB09116	0	0	0	1
methacycline	DB00931	0	0	0	0
carbenicillin	DB00578	0	1	1	2
anastrozole	DB01217	0	3	3	4
bendamustine	DB06769	0	6	6	6
dronabinol	DB00470	0	1	1	5
gadobenic acid	DB00743	0	8	8	13
cefmenoxime	DB00267	0	0	0	0
dantrolene	DB01219	0	0	0	2
sodium chloride	DB09153	0	1	6	7
valaciclovir	DB00577	0	0	0	0
spiramycin	DB06145	0	0	0	0
an-9	DB05103	0	0	0	0
ceftaroline fosamil	DB06590	0	0	0	0
vancomycin	DB00512	0	1	1	3
avobenzone	DB09495	0	0	0	1
quinupristin	DB01369	0	0	0	0
adipiplon	DB06579	0	13	13	19
lactulose	DB00581	0	0	0	0
ceftizoxime	DB01332	0	0	0	0
butoconazole	DB00639	0	0	0	0
prasugrel	DB06209	0	2	2	5
methotrexate	DB00563	0	3	10	15
faropenem medoxomil	DB05659	0	0	0	1
virginiamycin m1	DB01669	0	0	0	0
pantothenic acid	DB01783	0	0	1	7
rifapentine	DB01201	0	0	0	0
methaqualone	DB04833	0	11	11	16
nafarelin	DB00666	0	0	0	1
sofosbuvir	DB08934	0	0	0	1
difenoxin	DB01501	0	1	1	1
sulfamerazine	DB01581	0	0	0	0
gaboxadol	DB06554	0	12	12	16
besifloxacin	DB06771	0	0	0	0
dasabuvir	DB09183	0	0	0	1
fexofenadine	DB00950	0	1	1	3
bismuth subsalicylate	DB01294	0	3	3	3
ambroxol	DB06742	0	2	2	3
formaldehyde	DB03843	0	1	11	11
nitazoxanide	DB00507	0	1	1	1
inositol nicotinate	DB08949	0	0	0	2
ethambutol	DB00330	0	5	5	5
incadronic acid	DB06255	0	1	1	1
etravirine	DB06414	0	0	0	0
dicloxacillin	DB00485	0	4	4	8
stavudine	DB00649	0	1	1	1
phenoxypropazine	DB09251	0	1	1	2
pheniprazine	DB09250	0	1	1	2
isopropamide	DB01625	0	2	2	4
telbivudine	DB01265	0	0	0	0
levmetamfetamine	DB09571	0	0	0	1
clavulanate	DB00766	0	1	1	1
pivampicillin	DB01604	0	0	0	0
cinoxacin	DB00827	0	2	2	2
lopinavir	DB01601	0	2	2	2
idebenone	DB09081	0	1	1	2
chloropyramine	DB08800	0	0	0	1
dalfopristin	DB01764	0	0	0	0
trapidil	DB09283	0	0	0	1
cephalexin	DB00567	0	0	0	1
iodipamide	DB04711	0	1	1	2
wx-uk1	DB05476	0	0	0	0
paritaprevir	DB09297	0	0	0	1
acetohydroxamic acid	DB00551	0	2	2	6
dapsone	DB00250	0	1	1	1
haloprogin	DB00793	0	9	9	11
vecuronium	DB01339	0	6	6	9
caspofungin	DB00520	0	0	0	0
sertaconazole	DB01153	0	0	0	0
testolactone	DB00894	0	0	0	1
micafungin	DB01141	0	0	0	0
niclosamide	DB06803	0	9	9	11
cefmetazole	DB00274	0	0	0	0
tolazamide	DB00839	0	2	2	4
bifonazole	DB04794	0	1	1	2
succimer	DB00566	0	1	1	1
propoxycaine	DB09342	0	7	7	10
dexketoprofen	DB09214	0	2	2	2
sulfanilamide	DB00259	0	8	8	12
cefotetan	DB01330	0	3	3	3
indisulam	DB06370	0	2	2	3
formestane	DB08905	0	0	0	1
chlorambucil	DB00291	0	1	1	1
azatadine	DB00719	0	0	0	1
l-tryptophan	DB00150	0	2	12	16
aminopterin	DB08878	0	1	1	1
fluorouracil	DB00544	0	3	4	5
diphenhydramine	DB01075	0	0	0	2
cefditoren	DB01066	0	0	0	0
acipimox	DB09055	0	0	0	1
propylthiouracil	DB00550	0	0	0	2
pipecuronium	DB01338	0	6	6	11
denufosol	DB04983	0	0	0	2
sodium phosphate	DB09449	0	1	7	13
imipenem	DB01598	0	0	0	0
alcaftadine	DB06766	0	0	0	1
posaconazole	DB01263	0	1	1	1
fenretinide	DB05076	0	3	3	3
cefpiramide	DB00430	0	1	1	1
spectinomycin	DB00919	0	0	0	0
aminophenazone	DB01424	0	2	2	2
nitrofural	DB00336	0	0	0	0
fosfomycin	DB00828	0	0	0	0
novobiocin	DB01051	0	2	2	2
hydroxyamphetamine	DB09352	0	6	6	9
cloxacillin	DB01147	0	0	0	0
empagliflozin	DB09038	0	0	0	2
oxacillin	DB00713	0	2	2	4
nafcillin	DB00607	0	2	2	8
stanozolol	DB06718	0	2	2	3
alimemazine	DB01246	0	0	0	1
aminohippuric acid	DB00345	0	1	1	1
oxitriptan	DB02959	0	2	2	3
nitrofurantoin	DB00698	0	1	1	1
tasquinimod	DB05861	0	1	1	1
potassium iodide	DB06715	0	1	1	1
metyrapone	DB01011	0	2	2	3
aceprometazine	DB01615	0	0	0	1
rilapladib	DB05119	0	0	0	1
bromodiphenhydramine	DB01237	0	0	0	1
sulfacetamide	DB00634	0	2	2	2
levocetirizine	DB06282	0	0	0	1
zomepirac	DB04828	0	2	2	3
sulconazole	DB06820	0	12	12	18
tioguanine	DB00352	0	4	4	5
ertugliflozin	DB11827	0	0	0	2
rupintrivir	DB05102	0	0	0	0
potassium chloride	DB00761	0	5	10	13
triprolidine	DB00427	0	0	0	1
gemifloxacin	DB01155	0	1	1	1
dutasteride	DB01126	0	1	1	4
benzathine benzylpenicillin	DB09323	0	0	0	0
ceftazidime	DB00438	0	2	2	2
ceforanide	DB00923	0	1	1	1
cefpodoxime	DB01416	0	0	0	0
obinepitide	DB05045	0	0	0	3
ganirelix	DB06785	0	0	0	1
cimetidine	DB00501	0	1	4	11
loxoprofen	DB09212	0	2	2	2
iproniazid	DB04818	0	1	1	2
exemestane	DB00990	0	3	3	4
sulfamethizole	DB00576	0	0	0	0
mn-305	DB05339	0	0	0	0
prucalopride	DB06480	0	0	0	3
meclocycline	DB13092	0	0	0	0
nystatin	DB00646	0	0	0	1
dexchlorpheniramine maleate	DB09555	0	0	0	1
amikacin	DB00479	0	0	0	0
butylscopolamine	DB09300	0	0	0	2
piperacillin	DB00319	0	0	0	0
clomocycline	DB00453	0	0	0	0
rifalazil	DB04934	0	0	0	0
doripenem	DB06211	0	0	0	0
ceftibuten	DB01415	0	0	0	0
cinalukast	DB00587	0	0	0	1
gentian violet	DB00406	0	15	15	23
tetracosactide	DB01284	0	0	0	1
ixazomib	DB09570	0	3	3	3
sulfadiazine	DB00359	0	2	2	2
solabegron	DB06190	0	1	1	2
amd-070	DB05501	0	0	0	0
emedastine	DB01084	0	0	0	1
lymecycline	DB00256	0	0	0	0
telotristat ethyl	DB12095	0	0	0	2
latanoprostene bunod	DB11660	0	1	1	2
clobazam	DB00349	0	13	13	20
uc-781	DB05871	0	0	0	0
azelaic acid	DB00548	0	2	2	6
adefovir dipivoxil	DB00718	0	0	0	0
cefonicid	DB01328	0	1	1	2
clofazimine	DB00845	0	3	3	3
vadimezan	DB06235	0	3	3	3
alprazolam	DB00404	0	18	18	25
cefamandole	DB01326	0	0	0	0
dexbrompheniramine	DB00405	0	0	0	1
bismuth subcitrate	DB09275	0	0	0	0
ceftriaxone	DB01212	0	0	0	0
sulfoxone	DB01145	0	1	1	1
zafirlukast	DB00549	0	2	2	4
viomycin	DB06827	0	0	0	0
benzylpenicillin	DB01053	0	0	2	3
cangrelor	DB06441	0	0	0	2
ticlopidine	DB00208	0	5	5	10
ciluprevir	DB05868	0	0	0	0
fidaxomicin	DB08874	0	0	0	0
ramosetron	DB09290	0	0	0	1
methacholine	DB06709	0	1	3	8
histamine	DB05381	0	0	36	50
nizatidine	DB00585	0	1	1	2
troxacitabine	DB04961	0	11	11	11
cefotiam	DB00229	0	0	0	0
diiodohydroxyquinoline	DB09115	0	4	4	4
chloroxylenol	DB11121	0	1	1	2
foscarnet	DB00529	0	0	0	0
cycloserine	DB00260	0	8	8	8
cefdinir	DB00535	0	0	0	1
benzydamine	DB09084	0	5	5	5
vaborbactam	DB12107	0	0	0	0
amprenavir	DB00701	0	2	2	2
ganciclovir	DB01004	0	0	0	2
sulbactam	DB09324	0	0	0	0
lintitript	DB04867	0	0	0	1
phenylbutyric acid	DB06819	0	1	1	1
trioxsalen	DB04571	0	2	2	3
rapacuronium	DB04834	0	4	4	5
sorbitol	DB01638	0	0	6	6
clindamycin	DB01190	0	1	1	1
mephentermine	DB01365	0	7	7	10
sulfametopyrazine	DB00664	0	0	0	0
cefaclor	DB00833	0	0	0	0
toloxatone	DB09245	0	1	1	2
tesamorelin	DB08869	0	0	0	1
telaprevir	DB05521	0	2	2	6
simeprevir	DB06290	0	0	0	1
fusidic acid	DB02703	0	0	0	0
gts-21	DB05708	0	0	0	0
amdinocillin	DB01163	0	0	0	0
ethchlorvynol	DB00189	0	11	11	16
chlorfenson	DB05377	0	1	1	1
cefacetrile	DB01414	0	0	0	0
phenindamine	DB01619	0	0	0	1
lactic acid	DB04398	0	0	4	4
mirabegron	DB08893	0	2	2	3
sodium acetate	DB09395	0	1	1	1
voriconazole	DB00582	0	1	1	2
methimazole	DB00763	0	1	1	3
grepafloxacin	DB00365	0	1	1	1
deutetrabenazine	DB12161	0	0	0	1
cefoxitin	DB01331	0	0	0	0
cisatracurium besylate	DB00565	0	4	4	6
sodium aurothiomalate	DB09276	0	3	3	3
volixibat	DB13914	0	0	0	1
somatostatin	DB09099	0	4	16	22
setiptiline	DB09304	0	0	0	2
rosoxacin	DB00817	0	1	1	1
vx-702	DB05470	0	0	0	0
glisoxepide	DB01289	0	1	1	4
telithromycin	DB00976	0	1	1	1
meropenem	DB00760	0	0	0	0
cefapirin	DB01139	0	14	14	19
oxytetracycline	DB00595	0	0	0	0
gliquidone	DB01251	0	1	1	4
oteracil	DB03209	0	1	1	1
demeclocycline	DB00618	0	1	1	1
entacapone	DB00494	0	1	1	1
sodium bicarbonate	DB01390	0	1	6	11
efinaconazole	DB09040	0	0	0	0
ticagrelor	DB08816	0	1	1	3
sodium citrate	DB09154	0	1	1	2
dapagliflozin	DB06292	0	0	0	2
clofedanol	DB04837	0	0	0	1
roxatidine acetate	DB08806	0	0	0	1
aciclovir	DB00787	0	0	0	0
chlordiazepoxide	DB00475	0	14	14	23
fosaprepitant	DB06717	0	1	1	1
iopodic acid	DB09333	0	0	0	1
tiagabine	DB00906	0	1	1	2
methdilazine	DB00902	0	0	0	2
dexloxiglumide	DB04856	0	0	0	1
rimonabant	DB06155	0	2	2	4
paramethadione	DB00617	0	2	2	4
mepyramine	DB06691	0	9	9	11
pyrazinamide	DB00339	0	7	7	9
dolutegravir	DB08930	0	1	1	1
paromomycin	DB01421	0	1	1	1
mitomycin	DB00305	0	1	6	8
phensuximide	DB00832	0	1	1	3
thiabendazole	DB00730	0	1	1	1
ceruletide	DB00403	0	1	1	2
tolnaftate	DB00525	0	2	2	2
artesunate	DB09274	0	0	0	0
degarelix	DB06699	0	0	0	1
delorazepam	DB01511	0	11	11	16
nelfinavir	DB00220	0	10	10	12
josamycin	DB01321	0	0	0	0
boceprevir	DB08873	0	1	1	2
azlocillin	DB01061	0	0	0	0
travoprost	DB00287	0	1	1	2
cysteamine	DB00847	0	0	0	6
phenylacetic acid	DB09269	0	1	1	1
pyrithione zinc	DB06815	0	8	8	14
moxisylyte	DB09205	0	4	4	6
trimethaphan	DB01116	0	2	2	4
talnetant	DB06429	0	0	0	1
benzethonium	DB11125	0	11	11	17
capravirine	DB08502	0	0	0	0
dexpanthenol	DB09357	0	0	0	1
rimantadine	DB00478	0	0	0	0
atazanavir	DB01072	0	1	1	1
bilastine	DB11591	0	0	0	1
tripelennamine	DB00792	0	0	0	1
valganciclovir	DB01610	0	0	1	1
nabilone	DB00486	0	0	0	2
posizolid	DB04850	0	0	0	1
cefroxadine	DB11367	0	0	0	0
monobenzone	DB00600	0	3	3	4
saquinavir	DB01232	0	7	7	8
chloroxine	DB01243	0	1	1	1
pemoline	DB01230	0	1	1	1
atracurium besylate	DB00732	0	4	4	6
sulfapyridine	DB00891	0	0	0	0
pemirolast	DB00885	0	0	0	1
clopidogrel	DB00758	0	1	1	3
sgs-742	DB05010	0	0	0	0
edaravone	DB12243	0	1	2	2
kanamycin	DB01172	0	0	0	0
levocabastine	DB01106	0	0	0	3
canagliflozin	DB08907	0	0	0	2
fluconazole	DB00196	0	1	1	1
piboserod	DB04873	0	3	3	5
carbinoxamine	DB00748	0	1	1	2
merimepodib	DB04862	0	0	0	0
betazole	DB00272	0	0	0	1
avibactam	DB09060	0	0	0	0
bepotastine	DB04890	0	0	0	1
cefixime	DB00671	0	2	2	2
indinavir	DB00224	0	1	1	1
grazoprevir	DB11575	0	0	0	1
lamivudine	DB00709	0	0	0	0
docosanol	DB00632	0	1	1	1
hydroxyzine	DB00557	0	0	0	2
ertapenem	DB00303	0	0	0	0
idoxuridine	DB00249	0	0	0	1
edetic acid	DB00974	0	1	1	1
hydroquinone	DB09526	0	7	10	13
loracarbef	DB00447	0	0	0	0
gramicidin d	DB00027	0	3	3	3
mebanazine	DB09248	0	1	1	2
finasteride	DB01216	0	1	1	4
diphemanil methylsulfate	DB00729	0	1	1	4
gonadorelin	DB00644	0	0	1	2
vidarabine	DB00194	0	4	4	4
granisetron	DB00889	0	4	4	5
renzapride	DB04917	0	0	0	2
isoniazid	DB00951	0	3	3	4
chlortetracycline	DB09093	0	1	1	1
ozenoxacin	DB12924	0	0	0	0
rocuronium	DB00728	0	4	4	8
cefepime	DB01413	0	0	0	0
propylhexedrine	DB06714	0	0	0	2
amibegron	DB05395	0	0	0	1
famciclovir	DB00426	0	0	1	1
acrivastine	DB09488	0	0	0	1
chlorphentermine	DB01556	0	2	2	2
tadalafil	DB00820	0	6	6	10
velpatasvir	DB11613	0	0	0	1
metiamide	DB08805	0	0	0	1
cefadroxil	DB01140	0	2	2	2
dihydrocodeine	DB01551	0	1	1	1
bevirimat	DB06581	0	0	0	0
aztreonam	DB00355	0	0	0	0
cobicistat	DB09065	0	2	2	5
avanafil	DB06237	0	0	0	2
dovitinib	DB05928	0	13	13	13
dimetindene	DB08801	0	1	1	6
