Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C1849394	enhanced s-cone syndrome	1	1	1
C4024201	low-output congestive heart failure	1	1	1
C1970173	acyl-coa dehydrogenase family, member 9, deficiency of	1	1	1
C2673377	mucolipidosis ii alpha/beta (disorder)	1	1	1
C1854664	lethal congenital contracture syndrome 1	1	1	1
C0162361	hidrotic ectodermal dysplasia	1	1	2
C4021189	underdeveloped superior crus of antihelix	1	1	1
C0685889	splenic hypoplasia	1	1	1
C2936419	46, xx testicular disorders of sex development	1	1	2
C2748662	mitchell-riley syndrome	1	1	1
C3888209	spastic paraplegia 45, autosomal recessive	1	1	1
C2931826	potassium aggravated myotonia	1	1	1
C2931821	nakamura osame syndrome	1	1	1
C1847555	hyperinsulinemic hypoglycemia, familial, 6	1	1	1
C0271160	cortical cataract	1	1	1
C1850568	nakajo syndrome	1	1	1
C1851741	elliptocytosis 2 (disorder)	1	1	1
C3279899	hydrolethalus syndrome 2	1	1	1
C0268382	amyloid nephropathy	1	1	1
C1858593	limb-girdle muscular dystrophy, type 2e	1	1	1
C4024804	congenital visual impairment	1	1	1
C1835934	glomerulocystic kidney disease with hyperuricemia and isosthenuria	1	1	1
C0271789	hypothyroidism, congenital, nongoitrous, 4	1	1	1
C1835931	alpha/beta t-cell lymphopenia with gamma/delta t-cell expansion, severe cytomegalovirus infection, and autoimmunity	1	1	1
C1835933	glaucoma 1, open angle, g	1	1	1
C0796176	stuve-wiedemann syndrome	1	1	1
C0268654	iminoglycinuria	1	1	4
C4014668	combined oxidative phosphorylation deficiency 21	1	1	1
C4014660	combined oxidative phosphorylation deficiency 20	1	1	1
C3280939	atrioventricular septal defect 5	1	1	1
C1849779	kowarski syndrome	1	1	1
C4225356	dyskeratosis congenita, autosomal recessive 6	1	1	1
C4225357	epileptic encephalopathy, early infantile, 31	1	1	1
C4225354	mental retardation, autosomal dominant 35	1	1	1
C4225352	mental retardation, autosomal dominant 36	1	1	1
C4225350	epileptic encephalopathy, early infantile, 32	1	1	1
C4225351	white-sutton syndrome	1	1	1
C4225358	immunodeficiency 39	1	1	1
C3468041	fanconi anemia, complementation group c	1	1	1
C3554439	alazami syndrome	1	1	1
C3151857	moyamoya disease 4 with short stature, hypergonadotropic hypogonadism, and facial dysmorphism	1	1	1
C3281105	hemorrhage, intracerebral, susceptibility to	1	1	1
C1843256	irak4 deficiency	1	1	1
C0730303	capillary hemangioma of retina	1	1	1
C4021111	short 5th toe	1	1	1
C0339652	vertical gaze palsy	1	1	1
C0457133	muscle eye brain disease	1	1	6
C0266121	congenital absence of uvula	1	1	1
C0267839	hepatic amyloidosis	1	1	1
C3809536	ventricular tachycardia, catecholaminergic polymorphic, 5, with or without muscle weakness	1	1	1
C4023009	constrictive median neuropathy	1	1	1
C4024054	duplication of the proximal phalanx of the hallux	1	1	1
C4023006	juvenile colonic polyposis	1	1	1
C4012454	heart defects, congenital, and other congenital anomalies	1	1	1
C4025898	functional abnormality of male internal genitalia	1	1	1
C3552553	hypogonadotropic hypogonadism 5 with or without anosmia	1	1	1
C1136033	cutaneous mastocytosis	1	1	1
C0751434	classical phenylketonuria	1	1	1
C3806746	mental retardation, x-linked 99	1	1	1
C4025090	long proximal phalanx of finger	1	1	1
C0391826	lhermitte-duclos disease	1	1	1
C1858351	spinocerebellar ataxia 11	1	1	1
C1859569	bardet-biedl syndrome 11	1	1	1
C1622345	meretoja syndrome	1	1	1
C2750732	noonan syndrome 6	1	1	1
C2750737	diarrhea 5, with tufting enteropathy, congenital	1	1	1
C3150891	cocoon syndrome	1	1	1
C3150897	charcot-marie-tooth disease, recessive intermediate b	1	1	1
C3150896	neuropathy, hereditary sensory and autonomic, type ic	1	1	1
C3150899	parkinson disease 5, autosomal dominant	1	1	1
C3150898	cardiomyopathy, dilated, 1gg	1	1	1
C0398777	complement factor h deficiency	1	1	1
C0398776	hereditary c1 esterase inhibitor deficiency - dysfunctional factor	1	1	1
C0398775	hereditary c1 esterase inhibitor deficiency - deficient factor	1	1	1
C1854684	congenital myopia	1	1	1
C0474355	peripheral retinal neovascularization	1	1	1
C0343084	capillary leak syndrome	1	1	1
C1859499	3-methylcrotonyl coa carboxylase 2 deficiency	1	1	1
C3280112	myasthenic syndrome, congenital, 16	1	1	1
C3280113	nephrotic syndrome, type 5, with or without ocular abnormalities	1	1	1
C3553788	alternating hemiplegia of childhood 2	1	1	1
C2937288	thyroid hormone resistance, generalized, autosomal dominant	1	1	1
C3553831	microcephaly, short stature, and polymicrogyria with or without seizures	1	1	1
C0742747	high-output congestive heart failure	1	1	1
C3151071	complement component 3 deficiency, autosomal recessive	1	1	1
C1840347	hypocalciuric hypercalcemia, familial, type ii (disorder)	1	1	1
C3151077	aortic aneurysm, familial thoracic 7	1	1	1
C4021794	abnormality of the adrenal glands	1	1	1
C0410740	acquired deformity of finger	1	1	3
C1291611	deficiency of glucose-6-phosphate isomerase	1	1	1
C1834304	amyotrophy, hereditary neuralgic	1	1	1
C1833518	carnitine palmitoyltransferase ii deficiency, lethal neonatal	1	1	1
C1266181	dysplastic gangliocytoma of cerebellum (lhermitte-duclos)	1	1	1
C0410607	intervertebral disk calcification	1	1	1
C3151113	meier-gorlin syndrome 3	1	1	1
C4015452	polyglucosan body myopathy 2	1	1	1
C1838437	venous malformations, multiple cutaneous and mucosal	1	1	1
C1848519	waardenburg syndrome, type 4a	1	1	2
C1291230	3-hydroxyacyl-coa dehydrogenase deficiency	1	1	1
C3279790	atrial septal defect 3	1	1	1
C3279791	sick sinus syndrome 3, susceptibility to	1	1	1
C3279792	short-rib thoracic dysplasia 7 with or without polydactyly	1	1	1
C0270952	muscular dystrophy, oculopharyngeal	1	1	1
C1849011	spondylometaepiphyseal dysplasia, short limb-hand type	1	1	1
C3809233	noonan syndrome 8	1	1	1
C3809236	muscular dystrophy, limb-girdle, type 2s	1	1	1
C0432306	ichthyosis bullosa of siemens	1	1	1
C4024914	symmetric peripheral demyelination	1	1	1
C4024919	spinocerebellar tract disease in lower limbs	1	1	1
C4024918	recurrent subcortical infarcts	1	1	1
C1853116	spinocerebellar ataxia, autosomal recessive 8 (disorder)	1	1	1
C0542037	hypotriglyceridaemia	1	1	2
C4023499	generalized clonic seizures	1	1	1
C0751083	duane retraction syndrome, type 2	1	1	1
C2750035	emery-dreifuss muscular dystrophy 3	1	1	1
C3808012	cataract 23	1	1	1
C4014414	mental retardation, autosomal dominant 24	1	1	1
C2676788	joubert syndrome 9 (disorder)	1	1	1
C2676782	nephrolithiasis-osteoporosis, hypophosphatemic, 2	1	1	1
C4014419	xia-gibbs syndrome	1	1	1
C0267662	congenital chloride diarrhea	1	1	1
C0267663	congenital secretory diarrhea, sodium type (disorder)	1	1	1
C1854467	spastic paraplegia 13, autosomal dominant	1	1	1
C1854466	temtamy preaxial brachydactyly syndrome	1	1	1
C1861864	cardiomyopathy, familial hypertrophic, 2	1	1	1
C1861862	cardiomyopathy, familial hypertrophic, 4	1	1	1
C1861861	cardiomyopathy, familial restrictive, 1 (disorder)	1	1	1
C0024419	waldenstrom macroglobulinemia	1	1	1
C1970848	phosphoglycerate kinase 1 deficiency	1	1	1
C3150939	beaulieu-boycott-innes syndrome	1	1	1
C1970841	mental retardation, x-linked 93 (disorder)	1	1	1
C2608087	neuronopathy, distal hereditary motor, type iib	1	1	1
C2608083	cholestasis, benign recurrent intrahepatic 2	1	1	1
C0394996	acute alcoholic intoxication	1	1	1
C0014805	primary erythermalgia	1	1	2
C0014800	erythroid hyperplasia	1	1	1
C1845055	alpha-thalassemia/mental retardation syndrome, nondeletion type, x-linked	1	1	1
C1845050	pigmentary disorder, reticulate, with systemic manifestations	1	1	1
C4025133	cortical thickening of long bone diaphyses	1	1	1
C3489630	somatotrophinoma, familial	1	1	1
C3807295	cerebellar ataxia, deafness, and narcolepsy, autosomal dominant	1	1	1
C1862596	familial hypobetalipoproteinemia	1	1	1
C2936476	chronic liver failure	1	1	2
C1836173	generalized epilepsy and paroxysmal dyskinesia	1	1	1
C4021966	abnormality of the periungual region	1	1	1
C1865018	short qt syndrome 3	1	1	1
C0559106	ventricular preexcitation	1	1	1
C3542024	aortic valve disease 2	1	1	1
C3542026	peroxisome biogenesis disorder 5b	1	1	1
C3542022	short stature, onychodysplasia, facial dysmorphism, and hypotrichosis syndrome	1	1	1
C1861481	stickler syndrome, type 3	1	1	1
C1856974	pontocerebellar hypoplasia type 4 (disorder)	1	1	1
C3804986	paranasal sinus aplasia	1	1	1
C0238052	xanthomatosis, cerebrotendinous	1	1	1
C0238051	cerebral angiitis	1	1	1
C4021383	broad middle phalanx of finger	1	1	1
C0268412	infantile hypophosphatasia	1	1	1
C0268413	adult hypophosphatasia (disorder)	1	1	1
C4020709	neoplasia of the biliary tract	1	1	1
C0268418	deficiency of glycerol kinase	1	1	1
C0268419	acatalasia	1	1	1
C3489529	tooth agenesis, familial	1	1	1
C2677065	ichthyosis, congenital, autosomal recessive 6	1	1	1
C0796154	simpson-golabi-behmel syndrome, type 1	1	1	3
C0796159	mental retardation smith fineman myers type	1	1	1
C1838359	diffuse palmoplantar keratoderma, bothnian type	1	1	1
C4014641	diamond-blackfan anemia 13	1	1	1
C0406612	encephalocraniocutaneous lipomatosis	1	1	1
C3489787	pituitary hormone deficiency, combined, 3	1	1	1
C1720957	hyper-igm immunodeficiency syndrome, type 3	1	1	1
C1720956	hyper-igm immunodeficiency syndrome, type 2	1	1	1
C2749665	split-hand/foot malformation 6 (disorder)	1	1	1
C3280914	familial cold autoinflammatory syndrome 3	1	1	1
C0409346	contracture of joint of thumb	1	1	1
C1327915	congenital amegakaryocytic thrombocytopenia	1	1	1
C1327916	revesz syndrome (disorder)	1	1	1
C1327919	myelocerebellar disorder	1	1	1
C3151302	chromosome 13q14 deletion syndrome	1	1	1
C3151303	obesity, hyperphagia, and developmental delay	1	1	1
C1835912	aicardi-goutieres syndrome 4	1	1	1
C1832243	cardiomyopathy, dilated, 1d (disorder)	1	1	1
C3809008	hypomyelination with brainstem and spinal cord involvement and leg spasticity	1	1	1
C3809005	cardiofaciocutaneous syndrome 2	1	1	1
C3809007	cardiofaciocutaneous syndrome 4	1	1	1
C3809006	cardiofaciocutaneous syndrome 3	1	1	1
C3809553	mitochondrial complex iii deficiency, nuclear type 6	1	1	1
C1843183	charcot-marie-tooth disease, type 4a, axonal form	1	1	1
C4225338	microcephaly 14, primary, autosomal recessive	1	1	1
C4023579	abnormality of renal excretion	1	1	2
C4225334	autoimmune interstitial lung, joint, and kidney disease	1	1	1
C4225336	dystonia 27	1	1	1
C4225337	epileptic encephalopathy, early infantile, 33	1	1	1
C4225330	microphthalmia, isolated, with coloboma 10	1	1	1
C4225332	leukodystrophy, hypomyelinating, 10	1	1	1
C4225333	hypomagnesemia, seizures, and mental retardation	1	1	1
C4025303	enlarged vertebral pedicles	1	1	1
C4025302	anterior beaking of thoracic vertebrae	1	1	1
C4025301	cervical c5/c6 vertebrae fusion	1	1	2
C4025306	anterior beaking of lower thoracic vertebrae	1	1	1
C4025309	supernumerary vertebral ossification centers	1	1	2
C1835662	keratosis palmoplantaris papulosa	1	1	1
C1835664	tylosis with esophageal cancer	1	1	1
C1853490	22q13.3 deletion syndrome	1	1	1
C4013035	brain small vessel disease with or without ocular anomalies	1	1	1
C3808971	hypogonadotropic hypogonadism 17 with or without anosmia	1	1	1
C3808977	cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4	1	1	1
C0561921	perineal fistula	1	1	1
C0238286	mucolipidosis type iv	1	1	1
C0018179	granular dystrophy, corneal	1	1	1
C4020799	midthoracic hemivertebrae	1	1	1
C2676137	diamond-blackfan anemia 1	1	1	1
C3553816	spinocerebellar ataxia, autosomal recessive 13	1	1	1
C1969106	osteopetrosis, autosomal recessive 4	1	1	1
C4021228	gonadal neoplasm	1	1	1
C3539003	neuropathy, hereditary sensory and autonomic, type vi	1	1	1
C1855433	mandibulofacial dysostosis, treacher collins type, autosomal recessive	1	1	1
C1840364	thyroid hormone resistance, selective pituitary	1	1	1
C3151097	meier-gorlin syndrome 2	1	1	1
C1303073	nicolaides baraitser syndrome	1	1	1
C3148763	muscular dystrophy, limb-girdle, type 1e	1	1	1
C3149841	polycystic kidney disease 1	1	1	1
C2936332	alpha-sarcoglycanopathies	1	1	1
C1850625	native american myopathy	1	1	1
C1834329	retinitis pigmentosa 27	1	1	1
C1848578	methylmalonic aciduria and homocystinuria, cblf type (disorder)	1	1	1
C1859093	chorioretinal dystrophy, spinocerebellar ataxia, and hypogonadotropic hypogonadism	1	1	1
C0345050	congenital aneurysm of ascending aorta	1	1	1
C0344893	right ventricular dilatation	1	1	1
C0432322	dominant dystrophic epidermolysis bullosa, albopapular type (disorder)	1	1	1
C1865596	desmosterolosis	1	1	1
C0432328	xeroderma pigmentosum, variant form	1	1	1
C3160720	cardiomyopathy, dilated, 1u	1	1	1
C4014780	orofaciodigital syndrome xiv	1	1	1
C1846034	euthyroid multinodular goiter	1	1	1
C4024796	punctate corneal dystrophy	1	1	1
C0265646	talipes calcaneovarus	1	1	1
C4024794	horizontal supranuclear gaze palsy	1	1	1
C2677506	cardiomyopathy, familial hypertrophic, 11	1	1	1
C0795949	galloway mowat syndrome	1	1	1
C3280492	tumor predisposition syndrome	1	1	1
C3554576	facial dysmorphism, immunodeficiency, livedo, and short stature	1	1	1
C1854449	neuropathy, hereditary motor and sensory, russe type	1	1	1
C1854442	split-hand/foot malformation 4	1	1	1
C1832585	cerebellar ataxia, cayman type	1	1	1
C1861848	paragangliomas 4	1	1	1
C1853396	primary lateral sclerosis juvenile	1	1	2
C2931002	congenital disorder of glycosylation type 1h	1	1	1
C1842930	neutropenia, nonimmune chronic idiopathic, adult	1	1	1
C1863198	albinism, ocular, with sensorineural deafness (disorder)	1	1	2
C4014925	focal segmental glomerulosclerosis 7	1	1	1
C0033036	atrial premature complexes	1	1	1
C0344487	lateral meningocele	1	1	1
C0014534	epididymitis	1	1	1
C1845073	invasive pneumococcal disease, recurrent isolated, 2 (disorder)	1	1	1
C1845070	rolandic epilepsy, mental retardation, and speech dyspraxia, x-linked	1	1	1
C4025114	aphalangy of the hands	1	1	1
C2751090	thrombophilia due to histidine-rich glycoprotein deficiency	1	1	1
C1835614	hereditary hyperexplexia	1	1	3
C2673885	renal hepatic pancreatic dysplasia dandy walker cyst	1	1	1
C3694531	glycogen storage disease ixa1	1	1	1
C3888244	aicardi-goutieres syndrome 7	1	1	1
C2931860	monosomy 5p	1	1	2
C4225270	kosaki overgrowth syndrome	1	1	1
C1866008	muscular dystrophy, limb-girdle, type 2g	1	1	1
C2751898	ventricular fibrillation, paroxysmal familial, 1	1	1	2
C3152204	melanoma, cutaneous malignant, susceptibility to, 8	1	1	1
C4023430	long-segment aganglionic megacolon	1	1	1
C2675481	colorectal cancer, susceptibility to, 10	1	1	1
C0403814	congenital bilateral aplasia of vas deferens	1	1	1
C0403812	male infertility with large-headed, multiflagellar, polyploid spermatozoa	1	1	1
C0346064	cutaneous leiomyoma	1	1	1
C2931246	chromosome 17, trisomy 17p11 2	1	1	1
C2931244	craniometaphyseal dysplasia, autosomal recessive type	1	1	1
C1864746	deafness, autosomal recessive 53	1	1	1
C3280703	myopathy, centronuclear, 3	1	1	1
C0796137	3c syndrome	1	1	1
C0034341	pyruvate carboxylase deficiency disease	1	1	1
C4021571	abnormal vestibulo-ocular reflex	1	1	1
C0270210	lucey-driscoll syndrome (disorder)	1	1	1
C3280644	leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism	1	1	1
C3280641	complement component 4b deficiency	1	1	1
C0265343	jarcho-levin syndrome	1	1	5
C0265342	cerebrocostomandibular syndrome	1	1	1
C0265345	lymphedema distichiasis syndrome	1	1	1
C0265344	donohue syndrome	1	1	1
C1860157	elejalde disease	1	1	1
C4015643	combined oxidative phosphorylation deficiency 24	1	1	1
C4015316	epileptic encephalopathy, early infantile, 27	1	1	1
C1832216	bosley-salih-alorainy syndrome	1	1	1
C1832916	timothy syndrome	1	1	1
C0234517	anarthria speech disorder	1	1	1
C1832918	brody myopathy	1	1	1
C3549874	metaphyseal dysplasia with maxillary hypoplasia with or without brachydactyly	1	1	1
C0751383	juvenile neuronal ceroid lipofuscinosis	1	1	1
C1856399	glutathione synthetase deficiency of erythrocytes, hemolytic anemia due to	1	1	1
C4225312	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal recessive 2	1	1	1
C4023515	dialeptic seizures	1	1	1
C4225316	exudative vitreoretinopathy 6	1	1	1
C4225315	retinitis pigmentosa 72	1	1	1
C4225318	epilepsy, familial temporal lobe, 8	1	1	1
C4225319	mental retardation, autosomal recessive 50	1	1	1
C0340968	deficiency of pyruvate kinase	1	1	1
C0338614	psychotic episodes	1	1	1
C0268581	holocarboxylase synthetase deficiency	1	1	1
C1844934	arthrogryposis multiplex congenita, distal, x-linked	1	1	1
C1842031	iridogoniodysgenesis, type 2	1	1	1
C1858392	nephronophthisis 3	1	1	1
C3281289	trichohepatoenteric syndrome 2	1	1	1
C1846265	microphthalmia, syndromic 2	1	1	1
C4025321	mandibular hyperostosis	1	1	1
C3808739	myasthenic syndrome, congenital, 8	1	1	1
C0752124	spinocerebellar ataxia type 6 (disorder)	1	1	1
C0752125	spinocerebellar ataxia type 7	1	1	1
C0752120	spinocerebellar ataxia type 1	1	1	1
C0752121	spinocerebellar ataxia type 2	1	1	1
C0752122	spinocerebellar ataxia type 4	1	1	1
C0752123	spinocerebellar ataxia type 5	1	1	1
C3553607	mitochondrial pyruvate carrier deficiency	1	1	1
C1970479	branchiootorenal syndrome 2	1	1	1
C0751491	juvenile sandhoff disease	1	1	1
C1970470	surfactant metabolism dysfunction, pulmonary, 2 (disorder)	1	1	1
C0175703	thrombocytopenia-absent radius syndrome	1	1	1
C2678503	axenfeld-rieger syndrome, type 3	1	1	1
C3553748	adams-oliver syndrome 3	1	1	1
C1850395	neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive	1	1	1
C1838612	rhizomelic chondrodysplasia punctata, type 3	1	1	1
C2931471	sialuria, french type	1	1	1
C0263402	telangiectasia macularis eruptiva perstans	1	1	1
C1837341	transposition of the great arteries, dextro-looped 1	1	1	1
C1837342	muscular dystrophy, limb-girdle, type 2j	1	1	1
C0342792	succinyl-coa:3-oxoacid coa transferase deficiency	1	1	1
C1862382	sveinsson chorioretinal atrophy	1	1	1
C0342791	carnitine-acylcarnitine translocase deficiency	1	1	1
C2674219	spherocytosis, hereditary, 2	1	1	1
C2674218	spherocytosis, type 1 (disorder)	1	1	1
C1848552	methylmalonic aciduria and homocystinuria, cbld type	1	1	1
C1860896	colorectal cancer, hereditary nonpolyposis, type 6	1	1	1
C2750893	epilepsy, idiopathic generalized, susceptibility to, 11	1	1	1
C2748895	ovotesticular disorders of sex development	1	1	1
C2748896	46,xy gonadal dysgenesis, complete, sry-related	1	1	1
C3150692	amyotrophic lateral sclerosis 12	1	1	1
C2931658	phacomatosis pigmentokeratotica	1	1	1
C4021573	patchy hypo- and hyperpigmentation	1	1	1
C1847650	spongiform encephalopathy with neuropsychiatric features	1	1	1
C3150343	hemolytic anemia, nonspherocytic, due to hexokinase deficiency	1	1	1
C1839566	charcot-marie-tooth disease, x-linked recessive, 5	1	1	1
C1858479	spastic paraplegia 11, autosomal recessive	1	1	1
C0220726	diastrophic dysplasia	1	1	1
C1856728	fuhrmann syndrome	1	1	1
C3150207	agammaglobulinemia 6, autosomal recessive	1	1	1
C1833511	carnitine palmitoyltransferase ii deficiency, infantile	1	1	1
C4014239	microcephaly, progressive, with seizures and cerebral and cerebellar atrophy	1	1	1
C4024820	large hyperpigmented retinal spots	1	1	1
C3714980	bardet-biedl syndrome 17	1	1	1
C0270912	charcot-marie-tooth disease, type ib	1	1	1
C0270913	charcot-marie-tooth disease, type 1c	1	1	1
C0270911	charcot-marie-tooth disease, type ia (disorder)	1	1	1
C0270914	hereditary motor and sensory-neuropathy type ii	1	1	1
C1720859	familial partial lipodystrophy, type 1	1	1	1
C1536500	deficiency of acetyl-coa acetyltransferase	1	1	1
C4023180	type 1 muscle fiber atrophy	1	1	1
C1843028	deafness, autosomal recessive 37	1	1	1
C2677565	amyotrophic lateral sclerosis 10 (disorder)	1	1	1
C2677567	dystonia 16 (disorder)	1	1	1
C2677299	cerebroretinal microangiopathy with calcifications and cysts (disorder)	1	1	1
C1853153	joubert syndrome 6	1	1	1
C3554001	peroxisome biogenesis disorder 11b	1	1	1
C1970112	aplasia cutis congenita over the scalp vertex	1	1	2
C1970119	cardiac arrhythmia, ankyrin-b-related	1	1	1
C0036400	scimitar syndrome	1	1	2
C1857451	acth-independent macronodular adrenal hyperplasia	1	1	1
C0021171	bloch sulzberger syndrome	1	1	1
C4011726	myopathy, tubular aggregate, 1	1	1	1
C3549845	cholestasis, intrahepatic, of pregnancy, 1	1	1	1
C1442978	hernia of abdominal wall	1	1	1
C3150974	hirschsprung disease, susceptibility to, 3	1	1	1
C3150970	noonan syndrome 7	1	1	1
C3150971	leopard syndrome 3	1	1	1
C1841972	glucocorticoid receptor deficiency	1	1	1
C2673535	dystonia, dopa-responsive, with or without hyperphenylalaninemia, autosomal recessive (disorder)	1	1	1
C1836284	epidermolysis bullosa simplex with migratory circinate erythema	1	1	1
C1845095	deafness, x-linked 5 (disorder)	1	1	1
C4025175	congenital alopecia totalis	1	1	2
C1866398	proteus-like syndrome (disorder)	1	1	1
C1858278	charcot-marie-tooth disease, type 4b2	1	1	1
C0175778	larsen syndrome	1	1	1
C1960459	hereditary angioedema with normal c1 esterase inhibitor activity	1	1	1
C1866029	keratosis linearis with ichthyosis congenita and sclerosing keratoderma	1	1	1
C1849409	knobloch syndrome	1	1	1
C0205770	choroid plexus papilloma	1	1	1
C0524524	pseudoaphakia	1	1	1
C1847823	charcot-marie-tooth disease, axonal, type 2f	1	1	1
C0238093	stenosis of duodenum	1	1	1
C4013764	mental retardation with language impairment and with or without autistic features	1	1	1
C4021692	radial metaphyseal irregularity	1	1	1
C0268450	gitelman syndrome	1	1	2
C0268328	porphobilinogen synthase deficiency	1	1	1
C1864721	microphthalmia, isolated, with coloboma 3	1	1	1
C1864720	microphthalmia, isolated 2	1	1	1
C0565599	maternal hypertension	1	1	1
C3280721	chilblain lupus 2	1	1	1
C0033788	pseudo-hurler polydystrophy	1	1	1
C3151753	combined oxidative phosphorylation deficiency 6	1	1	1
C2751259	macrothrombocytopenia, autosomal dominant, tubb1-related	1	1	1
C0265326	bannayan-riley-ruvalcaba syndrome	1	1	1
C3810324	morbid obesity and spermatogenic failure	1	1	1
C3810325	poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis	1	1	1
C1864997	majeed syndrome	1	1	1
C3554499	microcephaly 10, primary, autosomal recessive	1	1	1
C3554496	left ventricular noncompaction 7	1	1	1
C4015624	myopathy, vacuolar, with casq1 aggregates	1	1	1
C0751360	becker generalized myotonia	1	1	1
C3553660	sotos syndrome 2	1	1	1
C1853723	myopathy, distal 2	1	1	1
C3276228	acrodysostosis 1 with or without hormone resistance	1	1	1
C2751053	inflammatory bowel disease 28, autosomal recessive	1	1	1
C0240880	rectoperineal fistula	1	1	1
C3806722	parkinsonism with spasticity, x-linked	1	1	1
C4225194	iga nephropathy, susceptibility to, 3	1	1	1
C4225196	hypotonia, infantile, with psychomotor retardation	1	1	1
C4225197	preimplantation embryonic lethality	1	1	1
C4225192	muscular dystrophy, limb-girdle, type 2w	1	1	1
C1832931	arrhythmogenic right ventricular dysplasia, familial, 2	1	1	1
C1844917	intermittent lactic acidemia	1	1	1
C0005754	congenital blindness	1	1	2
C4085582	mental retardation, x-linked 102	1	1	1
C4024168	thickened ears	1	1	1
C1854988	molybdenum cofactor deficiency, complementation group a	1	1	1
C2749936	spastic paraplegia 18, autosomal recessive (disorder)	1	1	1
C0339541	goldmann-favre syndrome (disorder)	1	1	1
C0877024	schimke immunoosseous dysplasia	1	1	1
C3888097	cataract 21, multiple types	1	1	1
C1845517	hydroxyacyl-coa dehydrogenase, type 2, deficiency	1	1	1
C3888093	ichthyosis, congenital, autosomal recessive 2	1	1	1
C4021264	abnormality of the ventricular septum	1	1	1
C0398791	nijmegen breakage syndrome	1	1	1
C1708371	histiocytoid cardiomyopathy	1	1	1
C0162510	caroli disease	1	1	1
C0032131	plasmacytoma	1	1	1
C1840322	odontohypophosphatasia (disorder)	1	1	1
C1720861	familial partial lipodystrophy, type 3	1	1	1
C1291329	transaldolase deficiency	1	1	1
C0342770	fumarase deficiency	1	1	1
C2675059	macrocytic anemia, refractory	1	1	1
C0263429	atrophoderma vermiculatum	1	1	1
C4015436	ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus	1	1	1
C1720863	congenital generalized lipodystrophy type 2	1	1	1
C1838492	spinal muscular atrophy, distal, congenital nonprogressive (disorder)	1	1	1
C0271514	low frequency deafness	1	1	1
C1328355	laryngoonychocutaneous syndrome	1	1	1
C1862059	supraauricular sinuses	1	1	1
C1850406	navajo neurohepatopathy	1	1	1
C1856128	hepatic venoocclusive disease with immunodeficiency	1	1	1
C1837713	joubert syndrome 3	1	1	1
C0678213	complete hydatidiform mole	1	1	2
C3810407	cortical dysplasia, complex, with other brain malformations 5	1	1	1
C3810401	atrial standstill 2	1	1	1
C3810400	epileptic encephalopathy, early infantile, 19	1	1	1
C1855299	shortened forearm	1	1	1
C1838239	band heterotopia of brain	1	1	1
C1838230	spinal muscular atrophy, type iv	1	1	1
C4015293	immunodeficiency 38 with basal ganglia calcification	1	1	1
C0268151	classical galactosemia	1	1	1
C0268155	deficiency of galactokinase	1	1	1
C3279627	epilepsy, progressive myoclonic, 6	1	1	1
C4014742	megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3	1	1	1
C0265259	popliteal pterygium syndrome	1	1	1
C4024750	abnormality of the palpebral fissures	1	1	1
C4024757	malformed lacrimal ducts	1	1	1
C0795905	cantu syndrome	1	1	2
C0795902	coloboma, cleft lip-palate and mental retardation syndrome	1	1	1
C0268524	gamma-glutamyltransferase deficiency	1	1	1
C3554534	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2	1	1	1
C0023374	lesch-nyhan syndrome	1	1	1
C1854408	glabellar hemangioma	1	1	1
C4024579	osteolysis involving bones of the feet	1	1	1
C1292773	acute myeloid leukemia with multilineage dysplasia	1	1	1
C0266081	congenital maxillary hyperplasia	1	1	1
C1292775	acute myeloid leukemia, 11q23 abnormalities	1	1	1
C1611706	myosclerosis	1	1	1
C3809431	microcephaly 11, primary, autosomal recessive	1	1	1
C1843004	hypotrichosis-lymphedema-telangiectasia syndrome	1	1	1
C3809383	immunodeficiency 8	1	1	1
C1843003	mitral valve prolapse, myxomatous 2	1	1	1
C2751321	macrocephaly, alopecia, cutis laxa, and scoliosis	1	1	1
C4014962	fanconi renotubular syndrome 4 with maturity-onset diabetes of the young	1	1	1
C4023010	hyperplastic colonic polyposis	1	1	1
C3809655	charcot-marie-tooth disease, axonal, type 2r	1	1	1
C3809650	bainbridge-ropers syndrome	1	1	1
C3809651	infantile liver failure syndrome 2	1	1	1
C4025153	dysplastic distal thumb phalanges with a central hole	1	1	1
C1860752	cardiomyopathy, familial hypertrophic, 7	1	1	1
C1853578	neuroferritinopathy	1	1	1
C0349535	carcinoid tumor of intestine	1	1	1
C1868569	patterned dystrophy of retinal pigment epithelium	1	1	2
C0349532	gastric lymphoma	1	1	1
C1970822	mental retardation, x-linked, syndromic 14	1	1	1
C1970827	phosphoribosylpyrophosphate synthetase superactivity	1	1	1
C2751855	hypomyelination, global cerebral	1	1	1
C0021847	intestinal pseudo-obstruction	1	1	4
C1844696	otopalatodigital syndrome, type ii	1	1	1
