C0000744	abetalipoproteinemia
C1848862	miller-mckusick-malvaux-syndrome (3m syndrome)
C1848916	tay-sachs disease, variant b1
C1848934	spondylocarpotarsal synostosis syndrome
C1848947	cold-induced sweating syndrome 1
C1849011	spondylometaepiphyseal dysplasia, short limb-hand type
C1849073	fused vertebrae
C1849075	relative macrocephaly
C1849096	infantile onset spinocerebellar ataxia
C1849115	spastic paraplegia 5a, autosomal recessive (disorder)
C1849128	spastic paraplegia 15, autosomal recessive
C1849140	spastic ataxia, charlevoix-saguenay type
C1849156	spastic ataxia
C1849157	insulin-like growth factor i, resistance to
C1849173	periventricular neuronal heterotopia
C1849334	robinow syndrome, autosomal recessive
C1849348	richieri costa pereira syndrome
C1849357	abnormal aryepiglottic folds
C1849377	midface capillary hemangioma
C1849387	rh-null, regulator type
C1849394	enhanced s-cone syndrome
C1849409	knobloch syndrome
C1849437	mainzer-saldino disease
C1849453	rapadilino syndrome
C1849507	uridine 5-prime monophosphate hydrolase deficiency, hemolytic anemia due to
C1849508	epilepsy, pyridoxine-dependent
C1849678	peroxisomal acyl-coa oxidase deficiency
C1849700	hyperphenylalaninemia with primapterinuria
C1849718	popliteal pterygium syndrome, lethal type
C1849722	polyglucosan body disease, adult form
C1849779	kowarski syndrome
C1849792	achromatopsia 3
C1849813	glycogen storage disease of heart, lethal congenital
C1849930	persistent mullerian duct syndrome
C1849953	square pelvis
C1850000	presentey anomaly
C1850040	pelviscapular dysplasia
C1850049	bilateral fifth finger clinodactyly
C1850053	pelizaeus-merzbacher-like disease, autosomal recessive, 2
C1850055	peho syndrome
C1850056	peho-like syndrome
C1850077	supranuclear palsy, progressive, 1, atypical
C1850100	parkinson disease 15, autosomal recessive (disorder)
C1850106	raine syndrome
C1850126	osteopetrosis, mild autosomal recessive form
C1850127	osteopetrosis, autosomal recessive 1
C1850155	torg-winchester syndrome
C1850168	bruck syndrome 1
C1850169	osteogenesis imperfecta, type ix (disorder)
C1850256	median cleft lip
C1850318	omodysplasia type 1
C1850343	mosaic variegated aneuploidy syndrome
C1850362	night blindness, congenital stationary, type 1b
C1850386	giant axonal neuropathy 1
C1850395	neuropathy, hereditary sensory, with spastic paraplegia, autosomal recessive
C1850406	navajo neurohepatopathy
C1850442	ceroid lipofuscinosis, neuronal, 5
C1850451	ceroid lipofuscinosis, neuronal, 1
C1850530	flexion contractures of joints
C1850554	atelosteogenesis type 2
C1850568	nakajo syndrome
C1850625	native american myopathy
C1850635	atrial myxoma, familial
C1850674	minicore myopathy with external ophthalmoplegia (disorder)
C1850709	myopathy, hyaline body, autosomal recessive
C1850718	myopathy with exercise intolerance, swedish type
C1850765	simple partial occipital seizures
C1850792	congenital myasthenic syndrome ib
C1850794	muscle atrophy, proximal
C1850808	miyoshi myopathy
C1850889	muscular dystrophy, limb-girdle, type 2b
C1850900	familial primary gastric lymphoma
C1850938	fundus dystrophy, pseudoinflammatory, of sorsby
C1850959	corneal dystrophy, fuchs' endothelial, 1
C1850961	anterior basal encephalocele
C1850968	median cleft palate
C1851100	laurin-sandrow syndrome
C1851102	fibrosis of extraocular muscles, congenital, 1
C1851120	hypertrichosis terminalis, generalized, with or without gingival hyperplasia
C1851316	iron overload, autosomal dominant
C1851347	familial mediterranean fever, autosomal dominant
C1851402	exudative vitreoretinopathy 1
C1851413	exostoses, multiple, type ii
C1851415	scapular exostoses
C1851481	erythrokeratodermia with ataxia
C1851504	aortic aneurysm, familial thoracic 4
C1851536	epiphyseal dysplasia, multiple, with myopia and conductive deafness
C1851573	transient bullous dermolysis of the newborn
C1851585	myeloproliferative disorder, chronic, with eosinophilia
C1851710	lateral meningocele syndrome
C1851741	elliptocytosis 2 (disorder)
C1851792	aplasia/hypoplasia of the earlobes
C1851835	narrow maxilla
C1851920	dopa-responsive dystonia
C1851943	dystonia 4, torsion, autosomal dominant (disorder)
C1851945	dystonia 1, torsion, autosomal dominant
C1851996	dwarfism tall vertebrae
C1852092	diabetes mellitus, insulin-dependent, 2
C1852093	maturity-onset diabetes of the young, type 1
C1852222	failure of tooth eruption, primary
C1852242	nonarteritic anterior ischemic optic neuropathy (naion)
C1852373	mitochondrial encephalopathy
C1852406	cutis gyrata syndrome of beare and stevenson
C1852438	cataract, coppock-like
C1852502	craniometaphyseal dysplasia, autosomal dominant
C1852510	craniofacial deafness hand syndrome
C1852529	corticosteroid-binding globulin deficiency
C1852551	epithelial recurrent erosion dystrophy
C1852581	epilepsy, benign neonatal, 2
C1852700	complement component 4, partial deficiency of
C1852759	papillorenal syndrome
C1852767	hereditary macular coloboma
C1852795	corneal dystrophy, posterior polymorphous, 2
C1853100	cerebrooculofacioskeletal syndrome 4
C1853102	cerebrooculofacioskeletal syndrome 2
C1853116	spinocerebellar ataxia, autosomal recessive 8 (disorder)
C1853120	noonan syndrome 4
C1853124	nephrotic syndrome, type 3
C1853136	neutral lipid storage disease with myopathy
C1853137	brachydactyly-syndactyly syndrome
C1853144	deafness, congenital, with inner ear agenesis, microtia, and microdontia
C1853147	macular degeneration, age-related, 4 (disorder)
C1853153	joubert syndrome 6
C1853154	nemaline myopathy 7
C1853162	osteogenesis imperfecta type vii
C1853198	cold-induced sweating syndrome 2
C1853202	parkinson disease 13, autosomal dominant, susceptibility to
C1853205	glycosylphosphatidylinositol deficiency
C1853214	retinitis pigmentosa 35
C1853223	deafness, autosomal recessive 67
C1853230	aphakia, congenital primary
C1853235	sclerocornea
C1853247	spastic paraplegia 31, autosomal dominant
C1853249	spinocerebellar ataxia 28
C1853250	spinocerebellar ataxia 23
C1853251	spastic paraplegia 33, autosomal dominant
C1853258	seborrhea-like dermatitis with psoriasiform elements
C1853271	hypophosphatemic rickets with hypercalciuria, hereditary
C1853276	deafness, autosomal recessive 28
C1853278	bleeding disorder due to p2ry12 defect
C1853286	erythrocytosis, familial, 3
C1853296	spondylocostal dysostosis, autosomal recessive 3
C1853354	peeling skin syndrome, acral type
C1853365	aortic aneurysm, familial abdominal 1
C1853371	maturity-onset diabetes of the young, type 6 (disorder)
C1853392	interleukin 2 receptor, alpha, deficiency of
C1853396	primary lateral sclerosis juvenile
C1853445	parkinson disease 7, autosomal recessive early-onset
C1853486	widow's peak
C1853490	22q13.3 deletion syndrome
C1853508	atrioventricular septal defect, susceptibility to, 2
C1853566	genitopatellar syndrome
C1853578	neuroferritinopathy
C1853698	rippling muscle disease
C1853710	hereditary motor and sensory neuropathy, type iic (disorder)
C1853723	myopathy, distal 2
C1853733	hemochromatosis, type 4
C1853736	congenital disorder of glycosylation, type iib
C1853761	spinocerebellar ataxia, autosomal recessive 1
C1853831	bleeding disorder, east texas type
C1853833	parkinson disease 6, autosomal recessive early-onset
C1853892	dimethylglycine dehydrogenase deficiency
C1853926	nonaka myopathy
C1853942	citrullinemia, type ii, neonatal-onset
C1853959	birdshot chorioretinopathy
C1853995	seizures, benign familial infantile, 2
C1854023	spinal muscular atrophy, jerash type
C1854058	spinal muscular atrophy, late-onset, finkel type
C1854063	cardiomyopathy dilated with woolly hair and keratoderma
C1854065	late-onset retinal degeneration (disorder)
C1854106	inclusion body myopathy 3, autosomal dominant
C1854146	deafness, autosomal dominant 39, with dentinogenesis imperfecta 1
C1854150	charcot-marie-tooth disease, type 2b2
C1854154	charcot-marie-tooth disease, type 2b1
C1854158	deafness, autosomal dominant 25 (disorder)
C1854260	leber congenital amaurosis 6 (disorder)
C1854273	radioulnar synostosis with amegakaryocytic thrombocytopenia
C1854310	hypotrichosis simplex
C1854311	cataract, posterior polar, 3
C1854335	epilepsy, nocturnal frontal lobe, type 3
C1854368	cardiomyopathy, dilated, 1j
C1854369	spinocerebellar ataxia 14
C1854380	nemaline myopathy 5
C1854408	glabellar hemangioma
C1854416	macrocephaly/autism syndrome
C1854442	split-hand/foot malformation 4
C1854449	neuropathy, hereditary motor and sensory, russe type
C1854465	tuberous sclerosis 1 (disorder)
C1854466	temtamy preaxial brachydactyly syndrome
C1854467	spastic paraplegia 13, autosomal dominant
C1854488	spinocerebellar ataxia 13
C1854510	abnormality of the cranial nerves
C1854520	sebastian syndrome
C1854568	spastic paraplegia 14, autosomal recessive (disorder)
C1854630	growth deficiency and mental retardation with facial dysmorphism
C1854631	hypertension, early-onset, autosomal dominant, with severe exacerbation in pregnancy
C1854664	lethal congenital contracture syndrome 1
C1854678	multiple pterygium syndrome, lethal type
C1854684	congenital myopia
C1854685	retinal hypoplasia
C1854896	mucolipidosis iii gamma
C1854988	molybdenum cofactor deficiency, complementation group a
C1854989	molybdenum cofactor deficiency, complementation group b
C1854990	molybdenum cofactor deficiency, complementation group c
C1855008	mitochondrial complex ii deficiency
C1855020	acute necrotizing encephalopathy
C1855052	microphthalmia, isolated 1
C1855081	microcephaly, primary autosomal recessive, 1
C1855100	methylmalonyl-coa epimerase deficiency
C1855102	methylmalonic aciduria cblb type
C1855109	methylmalonic aciduria cbla type
C1855114	methylmalonic aciduria due to methylmalonyl-coa mutase deficiency
C1855119	methylmalonic aciduria
C1855128	methylcobalamin deficiency, cblg type
C1855179	cataract, anterior polar
C1855229	spondylometaphyseal dysplasia, sedaghatian type
C1855230	focal lissencephaly
C1855299	shortened forearm
C1855305	ter haar syndrome
C1855310	megaepiphyseal dwarfism
C1855346	mast syndrome
C1855418	thoracolumbar gibbus deformity
C1855425	marles greenberg persaud syndrome
C1855433	mandibulofacial dysostosis, treacher collins type, autosomal recessive
C1855465	stargardt disease 1 (disorder)
C1855466	hypomagnesemia 5, renal, with ocular involvement
C1855496	contiguous gene syndrome
C1855548	laron syndrome type 2
C1855553	pyruvate dehydrogenase e3-binding protein deficiency
C1855565	pyruvate dehydrogenase e2 deficiency
C1855577	erythrocyte lactate transporter defect
C1855607	keutel syndrome
C1855627	haim-munk syndrome
C1855633	congenital palmoplantar keratosis
C1855648	kenny-caffey syndrome, type 1
C1855663	kaufman oculocerebrofacial syndrome
C1855675	arima syndrome
C1855681	nephronophthisis, familial juvenile
C1855698	scalp aplasia cutis congenita
C1855722	iris coloboma with ptosis, hypertelorism, and mental retardation
C1855733	neuronal intestinal pseudoobstruction
C1855739	indifference to pain, congenital, autosomal recessive
C1855772	absent corpus callosum cataract immunodeficiency
C1855789	self-healing collodion baby
C1855794	bamforth syndrome
C1855796	hypoproteinemia, hypercatabolic
C1855840	hypoparathyroidism-retardation-dysmorphism syndrome
C1855841	hypocalcaemic seizure
C1855849	bartter syndrome, antenatal , type 2
C1855861	glycogen storage disease 0, liver
C1855900	hypertrichosis, congenital generalized
C1855901	congenital hypertrophy of left ventricle
C1855923	hyperphosphatasia with mental retardation
C1855995	l-2-hydroxyglutaric aciduria
C1856016	hydrolethalus syndrome 1
C1856057	homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cble complementation type
C1856058	homocystinuria due to deficiency of n(5,10)-methylenetetrahydrofolate reductase activity
C1856113	mowat-wilson syndrome
C1856117	fleshy upturned lobules
C1856127	bile acid synthesis defect, congenital, 2
C1856128	hepatic venoocclusive disease with immunodeficiency
C1856186	deafness enamel hypoplasia nail defects
C1856245	granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type ii
C1856251	granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type i
C1856255	granulomatous disease, chronic, autosomal recessive, cytochrome b-negative
C1856266	coronal craniosynostosis
C1856273	46,xy gonadal dysgenesis, complete or partial, dhh-related
C1856399	glutathione synthetase deficiency of erythrocytes, hemolytic anemia due to
C1856439	glaucoma 3, primary congenital, a
C1856441	late onset congenital glaucoma
C1856465	ghosal hematodiaphyseal dysplasia
C1856603	gamma-glutamylcysteine synthetase deficiency, hemolytic anemia due to
C1856659	polysplenia
C1856689	friedreich ataxia 1
C1856716	follicle-stimulating hormone deficiency, isolated
C1856718	fleck retina, familial benign
C1856728	fuhrmann syndrome
C1856738	fibular hypoplasia and complex brachydactyly
C1856883	factor v and factor viii, combined deficiency of
C1856934	epidermolysis bullosa with pyloric atresia
C1856972	encephaloclastic proliferative vasculopathy
C1856974	pontocerebellar hypoplasia type 4 (disorder)
C1857013	gingival hyperkeratosis
C1857025	congenital scoliosis, progressive
C1857034	ehlers-danlos syndrome, cardiac valvular form
C1857041	ectodermal dysplasia, ectrodactyly, and macular dystrophy
C1857069	schopf-schulz-passarge syndrome (disorder)
C1857079	atretic auditory canal
C1857093	dystonia 2, torsion, autosomal recessive (disorder)
C1857100	dyssegmental dysplasia
C1857130	hypoplastic mandible condyle
C1857144	dyskeratosis congenita, autosomal recessive 1
C1857242	rhizomelic chondrodysplasia punctata, type 2
C1857252	2,4-dienoyl-coa reductase deficiency
C1857253	dicarboxylicaminoaciduria
C1857269	hitchhiker thumb
C1857276	trichohepatoenteric syndrome
C1857277	donnai-barrow syndrome
C1857278	partial or complete agenesis of corpus callosum
C1857316	polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy
C1857344	split-hand-foot malformation with sensorineural hearing loss
C1857355	leigh syndrome , french canadian type
C1857423	cystic kidney disease with ventriculomegaly
C1857451	acth-independent macronodular adrenal hyperplasia
C1857512	temtamy syndrome
C1857569	corneal endothelial dystrophy 2
C1857572	corneal dystrophy and perceptive deafness
C1857574	cornea plana 2
C1857586	conotruncal heart malformations (disorder)
C1857587	orstavik lindemann solberg syndrome
C1857618	achromatopsia 2
C1857627	chorioretinal dystrophy
C1857662	coach syndrome
C1857663	yunis varon syndrome
C1857682	combined oxidative phosphorylation deficiency 4
C1857690	pulmonary arteriovenous malformation
C1857728	hereditary angioedema type iii
C1857744	deafness, autosomal recessive 59
C1857747	neurodegeneration with brain iron accumulation 2 (disorder)
C1857750	deafness, autosomal recessive 66
C1857761	alagille syndrome 2
C1857762	olivopontocerebellar hypoplasia, fetal-onset
C1857775	diabetes mellitus, neonatal, with congenital hypothyroidism
C1857776	3-@methylglutaconic aciduria, type v
C1857777	arrhythmogenic right ventricular dysplasia, familial, 10
C1857779	senior-loken syndrome 6
C1857780	joubert syndrome 5
C1857802	morm syndrome
C1857829	heart-hand syndrome, slovenian type
C1857853	cataract, congenital nuclear, autosomal recessive 2
C1857854	proopiomelanocortin deficiency
C1857855	spastic paraplegia 29, autosomal dominant
C1857941	brooke-spiegler syndrome
C1857977	microhydranencephaly
C1858051	north american indian childhood cirrhosis
C1858054	bardet-biedl syndrome 6
C1858079	osteoarthritis with mild chondrodysplasia
C1858084	stickler syndrome, type ii (disorder)
C1858085	malar flattening
C1858106	spastic paraplegia 12, autosomal dominant (disorder)
C1858133	ichthyosis, nonlamellar and nonerythrodermic, congenital, autosomal recessive
C1858154	cardiomyopathy, dilated, 1i
C1858160	craniosynostosis, type 2
C1858172	deafness, autosomal dominant 20
C1858266	bare lymphocyte syndrome, type i
C1858278	charcot-marie-tooth disease, type 4b2
C1858302	ectodermal dysplasia/ skin fragility syndrome
C1858328	bile acid synthesis defect, congenital, 4
C1858338	neuropathy, hereditary motor and sensory, okinawa type
C1858351	spinocerebellar ataxia 11
C1858361	pyogenic arthritis, pyoderma gangrenosum and acne
C1858379	arrhythmogenic right ventricular dysplasia, familial, 5 (disorder)
C1858380	colorectal cancer, hereditary nonpolyposis, type 7 (disorder)
C1858386	leber congenital amaurosis 4
C1858392	nephronophthisis 3
C1858424	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency
C1858477	epilepsy, partial, with variable foci
C1858479	spastic paraplegia 11, autosomal recessive
C1858501	spinocerebellar ataxia 12
C1858516	microcephaly 4, primary, autosomal recessive
C1858517	spinal muscular atrophy with respiratory distress 1
C1858535	microcephaly, primary autosomal recessive, 2 (disorder)
C1858558	rheumatoid arthritis, systemic juvenile
C1858562	ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3
C1858565	duplicated collecting system
C1858593	limb-girdle muscular dystrophy, type 2e
C1858656	short stature, idiopathic, autosomal
C1858664	hemochromatosis, type 3
C1858672	generalized epilepsy with febrile seizures plus, type 1
C1858673	generalized epilepsy with febrile seizures plus, type 2
C1858674	generalized epilepsy with febrile seizures plus, type 3
C1858679	cataract, autosomal dominant
C1858680	familial encephalopathy with neuroserpin inclusion bodies
C1858695	chudley-mccullough syndrome
C1858712	spastic paraplegia 10, autosomal dominant
C1858723	poikiloderma with neutropenia
C1858725	noncompaction of left ventricular myocardium, familial isolated, autosomal dominant 1
C1858726	congenital cataracts, facial dysmorphism, and neuropathy
C1858763	cardiomyopathy, dilated, 1g
C1858805	vohwinkel syndrome, variant form
C1858806	cone-rod dystrophy 3 (disorder)
C1858854	megalencephalic leukoencephalopathy with subcortical cysts
C1858915	focal segmental glomerulosclerosis 2
C1858968	autoimmune lymphoproliferative syndrome, type iia
C1858990	beta thalassemia, dominant inclusion body type
C1858991	childhood ataxia with central nervous system hypomyelinization
C1859040	medullary cystic kidney disease type 2
C1859062	long qt syndrome 3
C1859093	chorioretinal dystrophy, spinocerebellar ataxia, and hypogonadotropic hypogonadism
C1859133	rhizomelic chondrodysplasia punctata, type 1
C1859148	chondrodysplasia, blomstrand type
C1859158	laryngeal calcification
C1859194	griscelli syndrome, type 1
C1859198	charcot-marie-tooth disease, type 4a (disorder)
C1859252	cerebrofaciothoracic dysplasia
C1859298	spinocerebellar ataxia, autosomal recessive 2
C1859305	cerebellar ataxia and hypogonadotropic hypogonadism
C1859309	syndactyly cenani lenz type
C1859312	camfak syndrome
C1859317	cataract and cardiomyopathy
C1859353	candidiasis, familial, 2
C1859372	calcification of joints and arteries
C1859405	bowen-conradi syndrome
C1859477	hypoplasia of proximal radius
C1859486	bietti crystalline corneoretinal dystrophy
C1859499	3-methylcrotonyl coa carboxylase 2 deficiency
C1859564	bardet-biedl syndrome 3
C1859565	bardet-biedl syndrome 7
C1859567	bardet-biedl syndrome 9
C1859568	bardet-biedl syndrome 10
C1859569	bardet-biedl syndrome 11
C1859570	bardet-biedl syndrome 12
C1859592	atrichia with papular lesions
C1859598	ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia
C1859690	camptodactyly-arthropathy-coxa vara-pericarditis syndrome
C1859722	arthrogryposis renal dysfunction cholestasis syndrome
C1859726	arterial tortuosity syndrome
C1859727	arterial calcification of infancy
C1859773	microphthalmia, syndromic 3
C1859817	2-aminoadipic 2-oxoadipic aciduria
C1859844	leber congenital amaurosis, type ii (disorder)
C1859877	alopecia universalis congenita
C1859966	neutropenia, severe congenital, autosomal dominant 1
C1859974	glucocorticoid deficiency 1
C1860042	antley-bixler syndrome with disordered steroidogenesis
C1860105	severe short-limb dwarfism
C1860157	elejalde disease
C1860224	ablepharon-macrostomia syndrome
C1860238	woolly hair, autosomal dominant
C1860339	waardenburg syndrome, type iia
C1860405	snowflake vitreoretinal degeneration
C1860406	vitreoretinochoroidopathy (disorder)
C1860450	calcaneovalgus deformity
C1860488	internal carotid artery abnormalities
C1860518	vasculopathy, retinal, with cerebral leukodystrophy
C1860707	tuberous sclerosis 2 (disorder)
C1860752	cardiomyopathy, familial hypertrophic, 7
C1860791	duodenal stenosis/atresia
C1860808	triosephosphate isomerase deficiency
C1860819	metopic synostosis
C1860823	trichorhinophalangeal syndrome, type iii
C1860826	coxa magna
C1860896	colorectal cancer, hereditary nonpolyposis, type 6
C1860991	noonan syndrome 3
C1861065	cardiomyopathy, familial hypertrophic, 9
C1861098	tibia, hypoplasia of, with polydactyly
C1861171	thrombophilia due to activated protein c resistance (disorder)
C1861178	thrombocytopenia paris-trousseau type
C1861185	thrombocytopenia 2 (disorder)
C1861195	glanzmann thrombasthenia, autosomal dominant
C1861303	synovitis, granulomatous, with uveitis and cranial neuropathies (disorder)
C1861305	tarsal-carpal coalition syndrome
C1861313	synostosis, carpal, with dysplastic elbow joints and brachydactyly
C1861329	spinal canal stenosis
C1861348	syndactyly, type v
C1861355	syndactyly, type iv
C1861366	syndactyly, type iii
C1861367	synpolydactyly 1
C1861385	symphalangism, proximal
C1861451	stormorken syndrome
C1861453	pseudohyperkalemia cardiff
C1861455	stomatocytosis i
C1861456	stiff skin syndrome
C1861481	stickler syndrome, type 3
C1861556	cirrhosis, familial
C1861669	charcot-marie-tooth disease and deafness
C1861678	charcot-marie-tooth disease, axonal, type 2a1
C1861689	klippel-feil syndrome, autosomal dominant
C1861732	spinocerebellar ataxia 29
C1861735	dementia, familial danish
C1861736	spinocerebellar ataxia 31 (disorder)
C1861821	cataract, marner type
C1861825	cataract, posterior polar, 1
C1861828	cataract, zonular pulverulent 1
C1861829	cataract microcornea syndrome
C1861848	paragangliomas 4
C1861861	cardiomyopathy, familial restrictive, 1 (disorder)
C1861862	cardiomyopathy, familial hypertrophic, 4
C1861863	cardiomyopathy, familial hypertrophic, 3 (disorder)
C1861864	cardiomyopathy, familial hypertrophic, 2
C1861922	campomelic dysplasia
C1861975	cafe au lait spots, multiple
C1862059	supraauricular sinuses
C1862066	branchial anomalies
C1862103	brachydactyly type c
C1862112	brachydactyly, type b1
C1862151	brachydactyly, type a1 (disorder)
C1862170	brachydactyly with hypertension
C1862177	diaphyseal medullary stenosis with malignant fibrous histiocytoma
C1862178	cole carpenter syndrome
C1862314	basal cell nevi
C1862323	ovalocytosis, southeast asian
C1862382	sveinsson chorioretinal atrophy
C1862394	atrial fibrillation, familial, 4
C1862472	oculomelic amyoplasia
C1862596	familial hypobetalipoproteinemia
C1862689	stahl ear
C1862839	anterior segment mesenchymal dysgenesis
C1862871	anhidrosis, isolated, with normal sweat glands
C1862892	hereditary angioedema type ii
C1862932	aneurysm, intracranial berry, 1 (disorder)
C1862939	amyotrophic lateral sclerosis 1
C1863051	alzheimer disease 2
C1863062	quadriplegia, episodic
C1863081	alpha-fetoprotein deficiency
C1863198	albinism, ocular, with sensorineural deafness (disorder)
C1863204	adult syndrome
C1863224	adenosine triphosphate, elevated, of erythrocytes
C1863236	scid due to ada deficiency, early-onset
C1863395	acrobrachycephaly
C1863411	retinal hamartoma
C1863512	hypercholesterolemia, autosomal recessive
C1863534	stargardt disease 4
C1863551	hypercholesterolemia, autosomal dominant, 3
C1863557	young simpson syndrome
C1863599	hereditary myopathy with early respiratory failure
C1863616	acromelic frontonasal dysostosis
C1863634	cone-rod dystrophy 7
C1863659	deafness, autosomal dominant 17
C1863688	xanthinuria, type ii
C1863704	spastic paraplegia 8, autosomal dominant
C1863727	hemophagocytic lymphohistiocytosis, familial, 2
C1863732	spondyloepimetaphyseal dysplasia with multiple dislocations
C1863753	limb-mammary syndrome
C1863844	adult-onset citrullinemia type 2
C1863959	hyperthyroidism, familial gestational
C1864002	gracile syndrome (disorder)
C1864041	cerebral cavernous malformations 2
C1864112	huntington disease-like 1
C1864148	meckel syndrome, type 2
C1864205	macular degeneration, age-related, 1
C1864233	endplate acetylcholinesterase deficiency (disorder)
C1864356	acromesomelic dysplasia, maroteaux type
C1864389	premature chromatid separation trait
C1864436	muenke syndrome
C1864445	histiocytosis with joint contractures and sensorineural deafness
C1864446	retinitis pigmentosa 25
C1864497	psoriasis 2
C1864498	renal tubular acidosis, distal, autosomal recessive
C1864567	cataract, posterior polar, 4 (disorder)
C1864621	retinitis pigmentosa 36
C1864623	diabetes mellitus, transient neonatal, 3 (disorder)
C1864648	chromosome 16p13.3 deletion syndrome, proximal
C1864651	gaucher disease, atypical, due to saposin c deficiency
C1864652	growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate
C1864663	hypomyelination and congenital cataract
C1864668	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 4
C1864669	neuronal ceroid lipofuscinosis due to cathepsin d deficiency
C1864689	microphthalmia, syndromic 6 (disorder)
C1864690	microphthalmia, syndromic 5
C1864694	complement component 7 deficiency
C1864720	microphthalmia, isolated 2
C1864721	microphthalmia, isolated, with coloboma 3
C1864723	pyridoxamine 5-prime-phosphate oxidase deficiency
C1864738	corneal dystrophy, congenital stromal
C1864746	deafness, autosomal recessive 53
C1864761	thyroid hormone metabolism, abnormal
C1864818	deafness, autosomal recessive 42 (disorder)
C1864825	frias syndrome
C1864826	epidermolysis bullosa, lethal acantholytic
C1864827	holoprosencephaly 5
C1864839	maturity-onset diabetes of the young, type 7 (disorder)
C1864840	combined oxidative phosphorylation deficiency 3
C1864843	combined oxidative phosphorylation deficiency 2
C1864850	arrhythmogenic right ventricular dysplasia, familial, 11
C1864852	catshl syndrome
C1864861	tumoral calcinosis, normophosphatemic, familial
C1864869	night blindness, congenital stationary, autosomal dominant 1
C1864870	night blindness, congenital stationary, autosomal dominant 3
C1864871	chromosome 17q21.31 deletion syndrome
C1864872	spondyloepimetaphyseal dysplasia, genevieve type
C1864873	testicular microlithiasis
C1864887	cortical dysplasia-focal epilepsy syndrome
C1864902	hyperinsulinemic hypoglycemia, familial, 7
C1864903	hyperinsulinaemic hypoglycaemia
C1864908	cataract, autosomal recessive congenital 2
C1864910	glutamine deficiency, congenital
C1864912	2-methylbutyryl-coa dehydrogenase deficiency
C1864923	northern epilepsy syndrome
C1864947	natural killer cell deficiency, familial isolated
C1864948	hyperinsulinemic hypoglycemia, familial, 4
C1864952	hyperinsulinemic hypoglycemia, familial, 5
C1864987	migraine, familial hemiplegic, 3
C1864997	majeed syndrome
C1865018	short qt syndrome 3
C1865019	short qt syndrome 2 (disorder)
C1865020	short qt syndrome 1
C1865027	hypoplastic iliac wing
C1865044	parietal foramina 2
C1865070	scaphocephaly, maxillary retrusion, and mental retardation
C1865143	branchiootic syndrome 1
C1865145	congenital disorder of glycosylation type 1b
C1865233	muscular dystrophy, congenital, megaconial type
C1865234	ichthyosis, hystrix-like, with deafness
C1865270	bartter syndrome, type 4a
C1865285	megalencephaly cutis marmorata telangiectatica congenita
C1865286	macrophthalmia, colobomatous, with microcornea
C1865290	hyperinsulinemic hypoglycemia, familial, 3
C1865295	auriculo-condylar syndrome
C1865322	migraine, familial hemiplegic, 2
C1865343	ossification of the posterior longitudinal ligament of spine
C1865349	ethylmalonic encephalopathy
C1865361	short stature, auditory canal atresia, mandibular hypoplasia, skeletal abnormalities
C1865366	deafness, autosomal dominant 15
C1865370	severe combined immunodeficiency with sensitivity to ionizing radiation
C1865371	severe combined immunodeficiency, athabaskan-type
C1865384	amyotrophy, monomelic
C1865409	amyotrophic lateral sclerosis 4, juvenile
C1865596	desmosterolosis
C1865614	hemochromatosis, type 2a
C1865616	hemochromatosis, type 2b
C1865639	gracile bone dysplasia
C1865643	cholestasis, progressive familial intrahepatic 3
C1865644	plantar lipomatosis, unusual facies, and developmental delay
C1865702	fifth finger camptodactyly
C1865832	spondyloepimetaphyseal dysplasia, missouri type
C1865866	congenital sensorineural hearing loss
C1865869	cone dystrophy 3 (disorder)
C1865871	hemangioma, capillary infantile
C1865872	nephronophthisis 2
C1865885	usher syndrome, type if
C1865915	fibrosis of extraocular muscles, congenital, 2
C1865926	infantile convulsions and paroxysmal choreoathetosis, familial (disorder)
C1865951	ectodermal dysplasia, pure hair-nail type
C1865974	hypomagnesemia 1, intestinal
C1866008	muscular dystrophy, limb-girdle, type 2g
C1866029	keratosis linearis with ichthyosis congenita and sclerosing keratoderma
C1866039	episodic ataxia, type 5
C1866075	glomerulopathy with fibronectin deposits 2 (disorder)
C1866078	cataract, zonular pulverulent 3
C1866094	deafness, autosomal recessive 15
C1866095	deafness, autosomal dominant 13
C1866174	phosphoglycerate dehydrogenase deficiency
C1866176	exudative vitreoretinopathy 4 (disorder)
C1866180	horizontal pendular nystagmus
C1866182	penttinen-aula syndrome
C1866190	atresia of the external auditory canal
C1866282	ceroid lipofuscinosis, neuronal, 6
C1866293	retinal cone dystrophy 2
C1866294	ehlers-danlos syndrome, musculocontractural type 1
C1866339	preaxial hallucal polydactyly
C1866398	proteus-like syndrome (disorder)
C1866423	quebec platelet disorder
C1866426	t-cell immunodeficiency, congenital alopecia and nail dystrophy
C1866495	bartter syndrome, antenatal type 1
C1866504	photosensitive trichothiodystrophy
